repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.3e-05,0.125440001,0.021303,647.724121,0.0288319997,647.962563,0
1,2.3e-05,0.139967993,0.029854,648.064087,0.0376639999,647.980628,0
2,2.5e-05,0.132576004,0.028687,648.426331,0.0287999995,648.315193,0
3,2.4e-05,0.110207997,0.021013,648.98053,0.0371519998,648.867726,0
4,2.6e-05,0.13008,0.031721,650.282349,0.0369919986,650.20136,0
5,2.4e-05,0.139295995,0.027584,651.782104,0.0272000004,651.681661,0
6,2.4e-05,0.110624,0.018156,656.387512,0.0257920008,656.382981,0
7,1.7e-05,0.118624002,0.014001,654.113159,0.027648,654.358024,0
8,2.3e-05,0.110656001,0.020435,653.929016,0.0285119992,653.8113,0
9,2.5e-05,0.110624,0.021163,653.181641,0.0368960015,653.094288,0
10,2.4e-05,0.136000007,0.027944,652.022583,0.0253759995,652.310506,0
11,2.6e-05,0.140095994,0.030695,650.250122,0.0249279998,650.367621,0
12,2.4e-05,0.115199998,0.020955,650.014404,0.0275199991,650.160042,0
13,2.9e-05,0.136703998,0.027554,650.60791,0.0223360006,650.91817,0
14,2.3e-05,0.114111997,0.022736,650.731262,0.0319680013,650.643217,0
15,2.4e-05,0.114656001,0.022865,652.242981,0.0395519994,652.183351,0
16,2.4e-05,0.137439996,0.028646,651.395386,0.0376960002,651.366157,0
17,2.9e-05,0.145088002,0.027016,651.390869,0.0403520018,651.363856,0
18,2e-05,0.134143993,0.029615,651.572205,0.0242240001,651.909781,0
19,2.5e-05,0.130048007,0.02786,650.211426,0.0278079994,650.429493,0
20,2.8e-05,0.113952003,0.021184,650.865479,0.0285119992,650.788765,0
21,2.8e-05,0.114015996,0.023715,651.96875,0.0237440001,651.998998,0
22,2.5e-05,0.116512001,0.021793,651.728821,0.0351679996,651.676937,0
23,2.5e-05,0.132735997,0.026369,652.517944,0.0288960002,652.76316,0
24,2.5e-05,0.115808003,0.019611,651.189636,0.0286400001,651.400981,0
25,2.8e-05,0.111840002,0.022054,650.641296,0.0298880003,650.57718,0
26,2.8e-05,0.111199997,0.021747,650.791687,0.0389119983,650.753423,0
27,2.8e-05,0.132512003,0.028729,649.651794,0.0307199992,649.617754,0
28,2.6e-05,0.114656001,0.022835,652.432617,0.0275839996,652.401855,0
29,2.5e-05,0.110752001,0.019499,650.244629,0.0335040018,650.196215,0
