repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.130559996,0.014552,674.610718,0.0252160002,674.620048,0
1,2.3e-05,0.114496,0.010582,674.337769,0.0247680005,674.335735,0
2,2.4e-05,0.112896003,0.017731,672.265747,0.0260160007,672.643084,0
3,1.9e-05,0.136127993,0.014696,676.357483,0.0231679995,676.368405,0
4,1.3e-05,0.110688001,0.010364,673.842346,0.0315839984,674.217568,0
5,2.3e-05,0.138336003,0.017896,672.717041,0.0269760005,672.859614,0
6,1.3e-05,0.114303999,0.016051,673.750305,0.0255040005,673.748465,0
7,1.4e-05,0.115904003,0.012156,674.285278,0.0271039996,674.59766,0
8,2e-05,0.117951997,0.020612,673.540649,0.0279680006,673.5498,0
9,1.4e-05,0.114496,0.016483,673.586487,0.0267840009,673.723068,0
10,1.5e-05,0.123680003,0.018534,676.532776,0.0306240004,676.560804,0
11,1.4e-05,0.115872003,0.021064,675.724487,0.0291840006,675.746943,0
12,1.2e-05,0.133343995,0.048717,673.841492,0.0265599992,673.866375,0
13,1.3e-05,0.113952003,0.017438,673.802734,0.0206719991,674.210335,0
14,2.5e-05,0.120191999,0.022944,673.089417,0.0443519987,674.88908,0
15,1.8e-05,0.111776002,0.021968,672.346375,0.0319040008,674.079773,0
16,2.4e-05,0.114399999,0.022471,674.050171,0.0264960006,675.959882,0
17,2e-05,0.118015997,0.02272,674.087219,0.0258879997,675.750091,0
18,2.6e-05,0.141120002,0.016756,678.630554,0.0260480009,680.448202,0
19,1.3e-05,0.113279998,0.016109,679.651794,0.0284160003,681.462555,0
20,1.9e-05,0.136127993,0.020313,677.311157,0.0278079994,678.910993,0
21,1.3e-05,0.116031997,0.018913,681.014343,0.0255040005,682.713553,0
22,1.4e-05,0.132192001,0.016714,679.040588,0.0263039991,680.595243,0
23,2.5e-05,0.112447999,0.019526,675.401855,0.0359360017,676.905124,0
24,1.6e-05,0.117760003,0.021389,674.095093,0.0242560003,675.555034,0
25,1.3e-05,0.110976003,0.015815,673.992004,0.0282879993,675.439829,0
26,2.4e-05,0.112800002,0.020462,672.945618,0.0249600001,674.672226,0
27,1.8e-05,0.135616004,0.030065,674.03125,0.0367040001,675.471333,0
28,2.4e-05,0.135008007,0.026799,675.303833,0.0247680005,676.973451,0
29,2.2e-05,0.112415999,0.019295,674.843811,0.0241279993,676.174985,0
