repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.110175997,0.00343,57.6235199,0.0220800005,57.79563,0
1,1.7e-05,0.110624,0.003402,57.6782074,0.0230720006,57.852375,0
2,1.2e-05,0.107199997,0.003759,57.5691528,0.0253759995,57.984326,0
3,1.4e-05,0.112191997,0.003259,57.5904312,0.0249600001,57.770927,0
4,1.2e-05,0.128288001,0.003533,58.0771828,0.0272640008,58.285033,0
5,1.3e-05,0.126463994,0.008742,58.0428467,0.0263039991,58.246104,0
6,1.2e-05,0.126911998,0.008011,57.7155533,0.0271359999,57.924899,0
7,2.4e-05,0.128767997,0.01168,57.5721588,0.0280319992,58.009171,0
8,1.3e-05,0.113600001,0.00443,57.5471992,0.0216639992,57.722865,0
9,1.3e-05,0.106271997,0.003623,58.0225601,0.0243200008,58.197006,0
10,1.3e-05,0.141535997,0.003198,58.0167694,0.0216320008,58.219551,0
11,1.2e-05,0.110688001,0.003596,57.7995529,0.0255040005,57.98219,0
12,1.3e-05,0.127391994,0.005515,57.3873596,0.0307199992,57.720549,0
13,1.4e-05,0.116704002,0.003831,57.2864304,0.0242880005,57.473835,0
14,1.2e-05,0.129920006,0.004591,57.7060165,0.0256319996,57.906722,0
15,1.2e-05,0.127775997,0.004488,57.8082886,0.0310079996,58.130336,0
16,1.4e-05,0.127775997,0.005287,57.1750069,0.0222079996,57.496669,0
17,1.3e-05,0.114367999,0.003703,57.3902397,0.0213760007,57.566794,0
18,1.2e-05,0.106239997,0.004891,57.5720978,0.0227840003,57.742084,0
19,1.2e-05,0.110752001,0.004509,57.7666245,0.0258879997,57.949926,0
20,1.3e-05,0.127967998,0.005245,57.4956169,0.0230720006,57.690197,0
21,1.2e-05,0.11248,0.005536,57.3287354,0.0323520005,57.65384,0
22,1.4e-05,0.135647997,0.005178,57.2942734,0.0262400005,57.503471,0
23,1.3e-05,0.128128007,0.005594,57.6607361,0.0222399998,57.851964,0
24,1.2e-05,0.108511999,0.004306,57.4971848,0.0238080006,57.671037,0
25,1.1e-05,0.11248,0.004602,57.068512,0.0286079999,57.383493,0
26,1.4e-05,0.112351999,0.004124,57.3352013,0.0263359994,57.519484,0
27,1.3e-05,0.128319994,0.004373,57.8012466,0.0226240009,57.992507,0
28,1.2e-05,0.108511999,0.004394,57.6233292,0.0214719996,57.792759,0
29,1.3e-05,0.108191997,0.003845,57.6104622,0.0244159997,57.914316,0
