repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.2e-05,0.107840002,0.00798,57.8201904,0.0230400003,57.992349,0
1,1.3e-05,0.108383998,0.004532,57.0931206,0.0281600002,57.517797,0
2,1.5e-05,0.138080001,0.004525,57.6905937,0.0227199998,57.895167,0
3,1.2e-05,0.109728001,0.003434,57.8837776,0.0214079991,58.054619,0
4,1.2e-05,0.106656,0.00507,57.9574394,0.0269760005,58.139146,0
5,1.2e-05,0.127839997,0.005361,57.7709427,0.0223360006,57.96287,0
6,1.1e-05,0.108864002,0.004159,57.3926735,0.023968,57.810341,0
7,1.4e-05,0.115359999,0.006357,57.4782715,0.0218880009,57.655148,0
8,1.2e-05,0.107072003,0.003532,57.8280334,0.0307199992,58.032494,0
9,2.5e-05,0.116384,0.018519,57.8395195,0.0245760009,58.150513,0
10,1.6e-05,0.132448003,0.009792,57.8778572,0.0233600009,58.076356,0
11,1.3e-05,0.110079996,0.005119,57.955265,0.0298239999,58.275228,0
12,1.3e-05,0.116608001,0.014134,57.5704002,0.0225600004,57.75012,0
13,1.8e-05,0.106016003,0.004352,57.9167366,0.0224639997,58.086516,0
14,1.4e-05,0.112032004,0.003275,57.9287682,0.0231679995,58.107784,0
15,1.4e-05,0.106880002,0.005802,57.7775688,0.0230400003,57.950782,0
16,1.2e-05,0.111295998,0.004575,57.5929604,0.0292799994,58.024769,0
17,1.8e-05,0.140287995,0.007924,57.5583992,0.0217279997,57.761726,0
18,1.3e-05,0.107487999,0.003485,57.9658241,0.0236159991,58.139018,0
19,1.3e-05,0.110207997,0.004499,57.7197113,0.0309120007,58.024113,0
20,1.4e-05,0.127072006,0.004225,57.8650894,0.0223040003,58.054368,0
21,1.3e-05,0.109407999,0.003502,57.5243187,0.031936001,57.953402,0
22,1.3e-05,0.137792006,0.003916,57.5619507,0.0239039995,57.764073,0
23,1.2e-05,0.107231997,0.003862,58.0025291,0.0225920007,58.172364,0
24,1.3e-05,0.105984002,0.004112,57.8183022,0.0319040008,58.119425,0
25,1.4e-05,0.127903998,0.004704,57.8272972,0.0220480002,58.017838,0
26,1.3e-05,0.109664001,0.005346,57.5826569,0.0258559994,57.896807,0
27,1.4e-05,0.139551997,0.007209,57.3512306,0.0223360006,57.554953,0
28,1.1e-05,0.111712001,0.003567,57.8511696,0.0218880009,58.02408,0
29,1.3e-05,0.108287998,0.003971,57.721344,0.0235520005,57.899519,0
