repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.110303998,0.00547,57.6773758,0.0305279996,57.857693,0
1,1.9e-05,0.107487999,0.004547,57.5744324,0.0303039998,57.996075,0
2,1.2e-05,0.116287999,0.005658,57.4661102,0.030816,58.019165,0
3,1.3e-05,0.118015997,0.0069,57.2684784,0.0225920007,57.449135,0
4,1.2e-05,0.107744001,0.00515,57.911232,0.0332159996,58.11724,0
5,2.9e-05,0.122175999,0.022798,57.6808014,0.0243200008,57.875184,0
6,1.6e-05,0.106912002,0.010901,57.5093765,0.0313600004,57.834332,0
7,1.7e-05,0.135616004,0.016311,57.6459846,0.0259520002,57.857332,0
8,2.1e-05,0.113536,0.011526,57.8650551,0.0230080001,58.0431,0
9,1.7e-05,0.106559999,0.008041,57.682785,0.0219199993,57.854733,0
10,1.2e-05,0.110688001,0.005009,57.4997139,0.0233919993,57.688797,0
11,1.3e-05,0.108800001,0.005413,57.4007378,0.0208320003,57.701868,0
12,1.5e-05,0.110079996,0.00471,57.3065262,0.0217920002,57.476897,0
13,1.2e-05,0.108255997,0.004632,57.6361275,0.0258559994,57.814298,0
14,1.3e-05,0.12816,0.004787,57.5268173,0.0329600014,57.733034,0
15,1.2e-05,0.126527995,0.005047,57.3408623,0.0224319994,57.661217,0
16,1.2e-05,0.112319998,0.004391,57.3276176,0.0227840003,57.503792,0
17,1.2e-05,0.107327998,0.006259,57.6798401,0.0218560006,57.848436,0
18,1.5e-05,0.111455999,0.003828,57.5450554,0.0225920007,57.719751,0
19,1.3e-05,0.108543999,0.005973,57.5176315,0.0281920005,57.834182,0
20,1.3e-05,0.136608005,0.008181,57.3440018,0.0212159995,57.542267,0
21,1.3e-05,0.110495999,0.004559,57.6179848,0.0220480002,57.78986,0
22,1.5e-05,0.111295998,0.004553,57.6274872,0.0269760005,57.811627,0
23,1.3e-05,0.127872005,0.005776,57.4894066,0.0235200003,57.682144,0
24,1.2e-05,0.112287998,0.004929,57.3017921,0.0257280003,57.619789,0
25,1.3e-05,0.135616004,0.012032,57.3715515,0.0247360002,57.578876,0
26,1.2e-05,0.128031999,0.005564,57.6514893,0.0312319994,57.851354,0
27,1.3e-05,0.111327998,0.005115,57.4798393,0.0331839994,57.668914,0
28,1.3e-05,0.128416002,0.004755,57.3346558,0.0258239992,57.667307,0
29,1.4e-05,0.135583997,0.007044,57.4544334,0.0253439993,57.6623,0
