repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.0440960005,0.004142,31.0423355,0.0126719996,31.252752,0
1,1.3e-05,0.0483199991,0.003743,30.088192,0.0314880013,30.510684,0
2,1.3e-05,0.0460160002,0.004185,31.0330238,0.0222079996,31.126277,0
3,1.4e-05,0.0399359986,0.003269,31.0770245,0.0175359994,31.276065,0
4,1.4e-05,0.0449279994,0.004027,30.1172485,0.013088,30.464083,0
5,1.3e-05,0.0441920012,0.003178,30.2382717,0.0102399997,30.317724,0
6,1.3e-05,0.0415359996,0.002873,31.248064,0.0099200001,31.326049,0
7,1.3e-05,0.0470720008,0.004097,30.7585278,0.0125759998,30.97278,0
8,1.2e-05,0.0432640016,0.004181,30.2746887,0.0132799996,30.490278,0
9,1.6e-05,0.0410239995,0.002847,30.7106876,0.0113599999,30.950018,0
10,1.3e-05,0.0435840003,0.002958,30.574976,0.018592,30.778902,0
11,1.1e-05,0.0447040014,0.003872,30.1250248,0.0120000001,30.314627,0
12,1.4e-05,0.0405119993,0.004823,30.8275204,0.0108160004,30.904427,0
13,1.4e-05,0.0453759991,0.004473,30.6899529,0.0121600004,30.774202,0
14,1.3e-05,0.0446720012,0.00445,30.1219196,0.0118720001,30.51987,0
15,1.3e-05,0.0515840016,0.004561,30.3901768,0.00825599954,30.474552,0
16,1.3e-05,0.0399039984,0.002714,31.2569599,0.0170239992,31.457623,0
17,1.2e-05,0.0437440015,0.003966,30.4378242,0.0166720003,30.776918,0
18,1.4e-05,0.0582400002,0.008641,30.6166725,0.0109440004,30.713454,0
19,1.2e-05,0.0453119986,0.004822,30.9104633,0.0137280002,30.995796,0
20,1.4e-05,0.0439359993,0.004284,30.5913601,0.0122880004,30.800497,0
21,1.3e-05,0.0437120013,0.003113,30.121664,0.0087360004,30.200555,0
22,1.3e-05,0.0394239984,0.0042,30.7417927,0.0107840002,30.980304,0
23,1.4e-05,0.0442879982,0.003803,30.6908169,0.0133119998,30.907306,0
24,1.4e-05,0.0481280014,0.004157,30.0524483,0.0122239999,30.141013,0
25,1.3e-05,0.0437120013,0.005041,30.7658882,0.0101760002,30.845309,0
26,1.3e-05,0.0414719991,0.004641,30.7670403,0.0106880004,30.847311,0
27,1.4e-05,0.0417600013,0.005518,30.0770874,0.0131519996,30.452694,0
28,1.2e-05,0.0462080017,0.005101,30.3338871,0.0175679997,30.442143,0
29,2.5e-05,0.0426880009,0.01702,31.0839996,0.0107840002,31.283197,0
