solver,n,throughput_targets_per_s,host_ms,conv_rate,avg_iters
cuda_a7,100,107250,0.932,1.0000,13.95
curobo,100,2850,,,
cuda_a7,500,149787,3.338,0.9980,14.54
curobo,500,14574,,,
cuda_a7,1000,140246,7.130,0.9980,15.34
curobo,1000,29518,,,
cuda_a7,5000,180962,27.630,0.9998,14.66
curobo,5000,144855,,,
kdl,100,986.1024363095611,100.665,1.0000,
numeric_dls,100,45.66435467504525,2177.786,0.0100,36.56
numeric_dls,500,47.98399720304821,10322.160,0.0140,30.93
numeric_dls,1000,49.837558032430245,20110.991,0.0150,30.06
numeric_dls,5000,59.767191208196586,81342.205,0.0154,27.36
pyroki,100,54.26375558265614,1820.774,0.3000,
