N,Solver,SeedStrategy,Throughput_targets_per_s,ConvRate,AvgIters,Repeat,Config,Date
100,CUDA B4,zero_seed,38015,1.000,13.66,30,FP64 all features,2026-06-10
100,CUDA B4,home_seed,26040,1.000,18.61,30,FP64 all features,2026-06-10
100,cuRobo,zero_seed,3059,1.000,,30,default,2026-06-10
100,cuRobo,home_seed,2550,1.000,,30,default,2026-06-10
500,CUDA B4,zero_seed,45015,1.000,14.88,30,FP64 all features,2026-06-10
500,CUDA B4,home_seed,32849,0.984,18.48,30,FP64 all features,2026-06-10
500,cuRobo,zero_seed,16659,1.000,,30,default,2026-06-10
500,cuRobo,home_seed,12105,1.000,,30,default,2026-06-10
1000,CUDA B4,zero_seed,45530,1.000,16.02,30,FP64 all features,2026-06-10
1000,CUDA B4,home_seed,39009,0.991,17.86,30,FP64 all features,2026-06-10
1000,cuRobo,zero_seed,32414,1.000,,30,default,2026-06-10
1000,cuRobo,home_seed,28160,1.000,,30,default,2026-06-10
5000,CUDA B4,zero_seed,52666,1.000,14.63,30,FP64 all features,2026-06-10
5000,CUDA B4,home_seed,45274,0.990,16.39,30,FP64 all features,2026-06-10
