target_id,q_sampled,position_xyz,rotation_matrix,quaternion_wxyz,transform_row_major,within_joint_limits,fk_verified
0,"[0.004305738788927009, -1.573436452038412, 1.5696944679434168, 0.010038958127089945, 1.5655569013065866, 0.003341197632418691]","[0.6614344870910969, 0.16727357879807492, 0.6251611242398855]","[-0.009523823122265084, 0.006328730082039946, 0.9999346198470601, 0.9999489547618835, -0.0033139260909085125, 0.009544933969429941, 0.0033741167366572733, 0.9999744822091275, -0.006296845784575862]","[0.49519324637010415, 0.5000217367158201, 0.5031169702007507, 0.5016325606030269]","[-0.009523823122265084, 0.006328730082039946, 0.9999346198470601, 0.6614344870910969, 0.9999489547618835, -0.0033139260909085125, 0.009544933969429941, 0.16727357879807492, 0.0033741167366572733, 0.9999744822091275, -0.006296845784575862, 0.6251611242398855, 0.0, 0.0, 0.0, 1.0]",True,True
1,"[0.005182501636759155, -1.5683646969988299, 1.5752520307707716, -6.289815421623479e-05, 1.5732035544157021, 0.001110131327323792]","[0.6643251838942955, 0.16716414971548782, 0.6190300886827551]","[-0.0027677489419634187, 0.0068273675639455205, 0.9999728629407606, 0.9999955717083784, -0.0010747592200424315, 0.0027751497712056768, 0.0010936770217708294, 0.9999761156871526, -0.0068243626666768]","[0.4973261327266338, 0.5012812017582436, 0.5021248232234187, 0.49925397982773484]","[-0.0027677489419634187, 0.0068273675639455205, 0.9999728629407606, 0.6643251838942955, 0.9999955717083784, -0.0010747592200424315, 0.0027751497712056768, 0.16716414971548782, 0.0010936770217708294, 0.9999761156871526, -0.0068243626666768, 0.6190300886827551, 0.0, 0.0, 0.0, 1.0]",True,True
2,"[-0.0065384011082903065, -1.5716447748275104, 1.5631310649927987, 0.002908125772277446, 1.5718808382301621, 0.004756064776087516]","[0.6656641132322739, 0.1594920693656509, 0.6289907666153429]","[0.007596075753486901, -0.005641626186905245, 0.9999552348415975, 0.9999598104444425, -0.004719257561562879, -0.007622735990604528, 0.004762050930231053, 0.9999729499651652, 0.005605551614518324]","[0.5021161145109869, 0.5016746410026451, 0.49549952448777185, 0.5006817186153781]","[0.007596075753486901, -0.005641626186905245, 0.9999552348415975, 0.6656641132322739, 0.9999598104444425, -0.004719257561562879, -0.007622735990604528, 0.1594920693656509, 0.004762050930231053, 0.9999729499651652, 0.005605551614518324, 0.6289907666153429, 0.0, 0.0, 0.0, 1.0]",True,True
3,"[-0.004565221662374851, -1.5697657881516727, 1.571307681840465, 0.009490644486884163, 1.5697581065562765, -0.0027756387738545113]","[0.6645898533888981, 0.16100441227350162, 0.621707112016324]","[0.0034964223450974093, 0.011041946530157044, 0.9999329229741412, 0.9999900675827557, 0.0027252537643059635, -0.0035267162851578488, -0.00276401277503649, 0.999935322112758, -0.011032308218779338]","[0.4987958920968134, 0.5029422125849974, 0.5025587377705187, 0.495667735401402]","[0.0034964223450974093, 0.011041946530157044, 0.9999329229741412, 0.6645898533888981, 0.9999900675827557, 0.0027252537643059635, -0.0035267162851578488, 0.16100441227350162, -0.00276401277503649, 0.999935322112758, -0.011032308218779338, 0.621707112016324, 0.0, 0.0, 0.0, 1.0]",True,True
4,"[0.002143426567575164, -1.5615909149075768, 1.574817464386587, 0.002261355715096633, 1.5695089637474957, -0.0011385777946996787]","[0.667927375515359, 0.1654917272593643, 0.6145906862012478]","[-0.0034482596998880915, 0.01548333414997275, 0.9998741800189872, 0.9999934292057123, 0.0011717670712024814, 0.003430525809665825, -0.0011185036620706696, 0.9998794393953359, -0.015487272969338448]","[0.4955391595025501, 0.5027094703201461, 0.5050018068632105, 0.49668632446931404]","[-0.0034482596998880915, 0.01548333414997275, 0.9998741800189872, 0.667927375515359, 0.9999934292057123, 0.0011717670712024814, 0.003430525809665825, 0.1654917272593643, -0.0011185036620706696, 0.9998794393953359, -0.015487272969338448, 0.6145906862012478, 0.0, 0.0, 0.0, 1.0]",True,True
5,"[0.010536032513814641, -1.5714215960350804, 1.5678900996212135, -0.009950118103184153, 1.5628206112764915, 0.0056282635780318824]","[0.6638902812500935, 0.1716805222962281, 0.626874393524705]","[-0.018585544013276303, -0.013376066157341654, 0.9997377948281665, 0.9998120347932427, -0.005769302720933866, 0.01850973335058999, 0.005520202562070319, 0.9998938923707199, 0.013480777551946621]","[0.4972740519114527, 0.4933819466589022, 0.49983383832539685, 0.5093710887668628]","[-0.018585544013276303, -0.013376066157341654, 0.9997377948281665, 0.6638902812500935, 0.9998120347932427, -0.005769302720933866, 0.01850973335058999, 0.1716805222962281, 0.005520202562070319, 0.9998938923707199, 0.013480777551946621, 0.626874393524705, 0.0, 0.0, 0.0, 1.0]",True,True
6,"[-0.005730337802489753, -1.5606432046923835, 1.5689208251098126, -0.00038029922850195126, 1.575836301948447, -0.0030948021004463177]","[0.6707020134817222, 0.15963560921864364, 0.6181067196628223]","[0.010745456041098065, 0.007930402221997557, 0.9999108179708157, 0.999937353071663, 0.0030493646960907178, -0.010769926043703805, -0.0031345025929871355, 0.9999639043963273, -0.007897138592362752]","[0.501472253007289, 0.5038832280244525, 0.5000502592858429, 0.4945472779902971]","[0.010745456041098065, 0.007930402221997557, 0.9999108179708157, 0.6707020134817222, 0.999937353071663, 0.0030493646960907178, -0.010769926043703805, 0.15963560921864364, -0.0031345025929871355, 0.9999639043963273, -0.007897138592362752, 0.6181067196628223, 0.0, 0.0, 0.0, 1.0]",True,True
7,"[0.008938845080372862, -1.573075048932371, 1.56678592156049, -0.0008156772734219365, 1.572514572324339, 0.0016947499935459208]","[0.662423129265185, 0.16971057693752734, 0.6278556315908224]","[-0.007232610081726101, -0.007092213963069792, 0.999948693610081, 0.9999723875173382, -0.0017582118702913249, 0.007220311204731112, 0.001706913670843644, 0.9999733042397285, 0.0071047345903335855]","[0.4995282556168158, 0.49684526444312405, 0.49959224964492305, 0.5040078264626332]","[-0.007232610081726101, -0.007092213963069792, 0.999948693610081, 0.662423129265185, 0.9999723875173382, -0.0017582118702913249, 0.007220311204731112, 0.16971057693752734, 0.001706913670843644, 0.9999733042397285, 0.0071047345903335855, 0.6278556315908224, 0.0, 0.0, 0.0, 1.0]",True,True
8,"[0.015094146736453946, -1.5675009273692408, 1.5777918217697722, -0.003593238903576601, 1.5733395695217967, 0.0035207111425316676]","[0.6631624477547935, 0.17373579557506869, 0.6170923798558297]","[-0.012526976152506641, 0.006740987809066516, 0.999898811856396, 0.9999153962804652, -0.003419335988592661, 0.012550235961022506, 0.0035035909799457777, 0.9999714332043466, -0.006697583556038024]","[0.4943066114019875, 0.4993971223866142, 0.5039358152880068, 0.5023068605407109]","[-0.012526976152506641, 0.006740987809066516, 0.999898811856396, 0.6631624477547935, 0.9999153962804652, -0.003419335988592661, 0.012550235961022506, 0.17373579557506869, 0.0035035909799457777, 0.9999714332043466, -0.006697583556038024, 0.6170923798558297, 0.0, 0.0, 0.0, 1.0]",True,True
9,"[0.007157533766514487, -1.565120387929731, 1.562221251550496, -0.004351805849500381, 1.5705531251995148, 0.002507984981915462]","[0.6676170557822878, 0.1687461965246004, 0.6259208877683259]","[-0.007418822745496409, -0.007232109636037488, 0.9999463273892671, 0.9999693396640975, -0.002559811064990776, 0.007400479650693005, 0.002506152593054859, 0.9999705715457451, 0.007250878681679889]","[0.499317595541954, 0.496963305898387, 0.4994016752572087, 0.5042889827500118]","[-0.007418822745496409, -0.007232109636037488, 0.9999463273892671, 0.6676170557822878, 0.9999693396640975, -0.002559811064990776, 0.007400479650693005, 0.1687461965246004, 0.002506152593054859, 0.9999705715457451, 0.007250878681679889, 0.6259208877683259, 0.0, 0.0, 0.0, 1.0]",True,True
10,"[0.01124646717122373, -1.5562039430474601, 1.5606954010516016, -0.01187142600257032, 1.5652838355492806, -0.00042223957329497284]","[0.6723823165340527, 0.17202189424764838, 0.6216479567015625]","[-0.016754906443918853, -0.0073865097495686375, 0.9998323422373248, 0.9998595195448596, 0.0003391846165250975, 0.016757867684115774, -0.0004629099026218594, 0.9999726618400702, 0.007379789082800026]","[0.4977358906225787, 0.49384362906105106, 0.5024227059900965, 0.5059139034732574]","[-0.016754906443918853, -0.0073865097495686375, 0.9998323422373248, 0.6723823165340527, 0.9998595195448596, 0.0003391846165250975, 0.016757867684115774, 0.17202189424764838, -0.0004629099026218594, 0.9999726618400702, 0.007379789082800026, 0.6216479567015625, 0.0, 0.0, 0.0, 1.0]",True,True
