target_id,pos_error_m,rot_error_rad,num_iterations,converged
0,4.728711508039e-03,2.331301857432e-03,17.000000,1
1,4.503297904488e-03,9.241589099910e-04,14.000000,1
2,2.149340894311e-03,7.480436147010e-04,17.000000,1
3,4.038556461045e-03,1.321278382873e-03,16.000000,1
4,5.671746569054e-03,3.261449941194e-03,14.000000,1
5,4.422919919572e-03,7.352257752999e-03,21.000000,1
6,9.033821907286e-03,1.869278381399e-03,15.000000,1
7,1.409251250552e-03,3.926874804723e-04,16.000000,1
8,3.416040378197e-03,4.599536028025e-04,16.000000,1
9,5.555851349083e-04,1.284744868036e-03,18.000000,1
10,2.444746630690e-03,1.359413830774e-03,17.000000,1
11,4.331903092706e-03,2.130062726284e-03,14.000000,1
12,9.676453307795e-03,7.905777597938e-03,13.000000,1
13,1.912007091469e-03,2.529617268945e-03,19.000000,1
14,4.091029061574e-03,1.698716619557e-03,19.000000,1
15,7.990651876202e-04,5.821958971563e-04,16.000000,1
16,1.374779698238e-03,0.000000000000e+00,18.000000,1
17,7.984251598818e-04,0.000000000000e+00,19.000000,1
18,6.423072934625e-04,0.000000000000e+00,24.000000,1
19,4.166986212081e-03,5.341541518378e-03,17.000000,1
20,1.628009002139e-04,1.463325857045e-03,21.000000,1
21,5.655109618989e-03,1.732026246251e-03,19.000000,1
22,4.802334684422e-03,3.216787610166e-03,14.000000,1
23,8.512326489515e-03,5.448646551255e-03,15.000000,1
24,8.389761811703e-04,4.241319853768e-04,23.000000,1
25,8.031893377701e-03,1.486995216881e-02,18.000000,1
26,9.182999964534e-03,6.801097280889e-03,15.000000,1
27,7.793068321209e-03,1.333062183939e-03,14.000000,1
28,3.202471749499e-03,1.180810345683e-03,16.000000,1
29,6.782643720270e-03,8.852343230592e-03,17.000000,1
30,5.803321976633e-03,6.178778677091e-03,18.000000,1
31,2.194765420877e-03,1.363250821517e-03,16.000000,1
32,6.006976772869e-04,5.478380648976e-04,22.000000,1
33,1.557481909955e-03,5.876952492443e-04,18.000000,1
34,5.936422559566e-04,9.038792907321e-04,20.000000,1
35,3.937670327782e-03,1.752652354255e-03,16.000000,1
36,7.247150623998e-03,6.528491477804e-03,17.000000,1
37,1.741988561056e-03,5.009343550511e-04,16.000000,1
38,1.069858626546e-03,1.291924906451e-03,17.000000,1
39,9.885085759486e-03,7.031125612041e-04,22.000000,1
40,1.320802759126e-04,4.663148598674e-04,18.000000,1
41,5.230551526693e-03,1.431214275323e-03,23.000000,1
42,4.773623931743e-03,8.979976633534e-04,16.000000,1
43,9.658508005836e-03,7.185918153467e-03,18.000000,1
44,4.752718796264e-03,1.743972377217e-03,16.000000,1
45,5.059488155695e-03,2.656980090794e-03,20.000000,1
46,5.107723761133e-04,3.032228343496e-04,19.000000,1
47,7.546249978488e-04,9.723811720991e-04,17.000000,1
48,2.959121950075e-03,1.224362937181e-02,21.000000,1
49,1.509389250725e-03,6.564581536844e-03,15.000000,1
50,3.550626695950e-04,4.749646812477e-04,21.000000,1
51,6.553601475441e-03,9.997303361565e-04,22.000000,1
52,7.352032222872e-03,3.667779534319e-03,14.000000,1
53,1.619780067720e-03,3.902014430287e-04,30.000000,1
54,1.265769210833e-03,4.888953692312e-04,18.000000,1
55,9.955901928577e-03,7.128805112758e-03,14.000000,1
56,1.653786630508e-03,2.178202815743e-03,14.000000,1
57,9.953126566554e-03,3.143239177055e-03,15.000000,1
58,1.367628231797e-03,1.088398105934e-03,18.000000,1
59,5.003622143781e-04,1.420379698591e-03,25.000000,1
60,9.072664822757e-03,5.424811443682e-03,17.000000,1
61,2.686426118860e-03,7.922549299866e-04,19.000000,1
62,4.183560526914e-03,8.268668973720e-03,16.000000,1
63,6.363270258606e-03,2.157929229124e-03,24.000000,1
64,6.261249754796e-04,0.000000000000e+00,17.000000,1
65,3.130393375427e-03,0.000000000000e+00,23.000000,1
66,7.681831221291e-03,4.262957284105e-03,16.000000,1
67,5.087689413509e-03,5.038971327284e-03,20.000000,1
68,8.663065985694e-04,1.209673111250e-03,16.000000,1
69,3.095902182800e-03,5.295808580750e-03,20.000000,1
70,2.619150961747e-03,1.261432116430e-03,20.000000,1
71,8.292622595584e-03,4.256616681013e-03,16.000000,1
72,6.347653299389e-03,1.469425629615e-02,23.000000,1
73,7.257217604318e-04,9.906094328117e-04,18.000000,1
74,4.762713839155e-03,9.319980122438e-03,13.000000,1
75,1.600754312841e-03,2.088480674656e-03,19.000000,1
76,1.625069409386e-03,1.982917482295e-03,18.000000,1
77,5.972624558502e-03,1.491450341339e-03,20.000000,1
78,1.117691525110e-03,3.485648207054e-04,16.000000,1
79,7.834319371598e-03,7.081242405851e-03,17.000000,1
80,3.278196942047e-04,3.516332907750e-04,17.000000,1
81,7.825542054085e-03,8.317951937207e-03,15.000000,1
82,8.753293711389e-03,4.049930326971e-03,14.000000,1
83,1.140344143148e-03,6.435198821852e-04,22.000000,1
84,9.863326838992e-04,2.058898336627e-04,16.000000,1
85,4.077078201607e-04,1.115010356127e-03,16.000000,1
86,4.686703569997e-03,1.602981642434e-03,13.000000,1
87,4.386356585417e-03,1.565628010103e-02,16.000000,1
88,9.017479254300e-03,7.083412939825e-03,18.000000,1
89,6.564899206298e-03,2.470723879027e-03,14.000000,1
90,9.471634827920e-04,1.196983696949e-03,15.000000,1
91,5.157066176958e-03,4.055022233430e-03,17.000000,1
92,2.573205514000e-03,2.608933175381e-03,16.000000,1
93,1.224877195490e-03,2.067575488404e-03,16.000000,1
94,1.813750117784e-03,2.303310009371e-03,23.000000,1
95,1.721848122758e-03,1.671204683646e-03,21.000000,1
96,1.269321478705e-03,4.713569778778e-04,17.000000,1
97,3.980842600310e-03,4.674346426378e-03,15.000000,1
98,2.202595222886e-03,9.602661759066e-04,19.000000,1
99,9.189154134062e-03,2.155624279942e-03,18.000000,1
100,4.827554428582e-03,7.128724595778e-03,15.000000,1
101,6.722177758811e-03,1.295526841213e-03,14.000000,1
102,7.307199672336e-03,5.217774162369e-03,18.000000,1
103,4.442183485186e-03,2.982704035203e-03,18.000000,1
104,5.341041149769e-04,1.455230085941e-03,28.000000,1
105,9.690923398606e-03,2.821958221523e-03,20.000000,1
106,2.927492596141e-04,3.929185492419e-04,22.000000,1
107,9.349588252512e-03,4.352990780180e-03,18.000000,1
108,8.389596259180e-03,7.814307360966e-03,18.000000,1
109,1.035877119995e-03,7.969716741420e-04,18.000000,1
110,7.695494768432e-04,2.570518635431e-03,20.000000,1
111,9.081322439843e-04,3.163825604589e-04,20.000000,1
112,3.578322550313e-03,1.142989755347e-02,25.000000,1
113,9.212410284656e-04,4.353839386346e-04,17.000000,1
114,1.103909232199e-03,4.171093497541e-04,13.000000,1
115,6.598744148602e-03,3.682049970178e-03,21.000000,1
116,7.243991102832e-03,2.659921500373e-03,21.000000,1
117,6.149867082230e-03,8.301816548191e-03,20.000000,1
118,2.622205035425e-03,8.120072655874e-03,28.000000,1
119,1.510575815510e-03,6.247843522889e-04,20.000000,1
120,1.363155550464e-03,8.197954259174e-04,17.000000,1
121,1.190664851364e-03,4.302683005161e-04,29.000000,1
122,1.353601303223e-03,6.511529304865e-04,22.000000,1
123,1.234298588684e-03,4.703673578972e-04,21.000000,1
124,2.899303103459e-03,1.799900366581e-03,19.000000,1
125,1.772188689392e-03,5.824600005086e-04,20.000000,1
126,1.324228845979e-03,1.581428287742e-03,17.000000,1
127,8.210732727775e-04,3.482747539212e-03,17.000000,1
128,8.568554537685e-03,1.412769467603e-02,17.000000,1
129,7.912227426214e-03,1.106721111247e-02,20.000000,1
130,2.099368503429e-03,6.961997794218e-04,29.000000,1
131,7.285244461189e-03,7.232456004785e-03,16.000000,1
132,8.479843143045e-03,1.128327108492e-02,17.000000,1
133,3.780706368009e-04,1.708619977931e-03,21.000000,1
134,9.950055374772e-04,4.491392920460e-04,21.000000,1
135,6.067318813631e-03,4.053573576587e-03,13.000000,1
136,4.802431975312e-03,5.303348216249e-03,15.000000,1
137,6.922322601413e-03,8.498093652097e-04,32.000000,1
138,8.159672792166e-03,1.731054389055e-02,16.000000,1
139,3.049509088574e-03,3.182289511486e-03,19.000000,1
140,4.541256882653e-04,4.640238002803e-04,29.000000,1
141,3.374734380013e-03,7.336859266312e-03,21.000000,1
142,1.972275468018e-03,1.840566310786e-03,24.000000,1
143,4.315200059721e-03,6.580346137677e-03,21.000000,1
144,9.423505526929e-04,8.340518156138e-04,26.000000,1
145,9.798760269081e-03,7.639682290751e-03,19.000000,1
146,2.979436138420e-03,8.225218225047e-03,14.000000,1
147,3.973900596122e-03,1.450322516840e-03,20.000000,1
148,6.659515764595e-04,7.200584255928e-04,15.000000,1
149,4.960864293473e-03,4.489284672463e-03,15.000000,1
150,1.159224129119e-03,5.305058096879e-04,22.000000,1
151,3.960835817449e-04,4.275960670357e-04,22.000000,1
152,8.531847037680e-04,5.468385981985e-04,20.000000,1
153,6.663025891140e-03,3.890460512422e-03,20.000000,1
154,1.862103119916e-03,2.173800821656e-03,17.000000,1
155,1.497343818386e-03,1.734889789785e-03,16.000000,1
156,1.120170947762e-03,9.101117098919e-04,19.000000,1
157,7.566747221902e-03,8.519911978611e-03,20.000000,1
158,1.011250150895e-03,1.424695386297e-04,23.000000,1
159,2.045104253221e-03,6.842719095326e-04,30.000000,1
160,4.313808254155e-03,3.607583333030e-03,16.000000,1
161,7.279120111501e-03,1.416487789327e-02,22.000000,1
162,3.751794604784e-04,3.561694388602e-04,16.000000,1
163,1.213168452989e-03,4.627398197911e-04,29.000000,1
164,6.134735008654e-04,4.486570773595e-04,18.000000,1
165,3.932674377948e-03,1.873738356264e-03,17.000000,1
166,4.856736773145e-03,1.312274921650e-03,18.000000,1
167,7.062616964287e-03,3.355609394972e-03,16.000000,1
168,4.453439132981e-03,1.658552639180e-03,17.000000,1
169,8.377480648417e-03,3.086743856461e-02,16.000000,1
170,2.853643590809e-04,1.301603537532e-03,19.000000,1
171,1.404869057579e-03,4.433403100878e-04,22.000000,1
172,1.965717835356e-03,1.114108354353e-04,14.000000,1
173,6.167680199059e-03,3.794601965899e-03,17.000000,1
174,7.965828304994e-04,2.353372949035e-04,15.000000,1
175,9.659654402059e-04,9.830498494622e-04,20.000000,1
176,5.890567672169e-03,7.650933615295e-03,21.000000,1
177,4.437947563063e-04,0.000000000000e+00,24.000000,1
178,5.207429298636e-03,1.574695255815e-03,16.000000,1
179,7.537597922627e-03,1.506369324585e-03,16.000000,1
180,6.647225900730e-03,1.392299394918e-02,15.000000,1
181,4.927461643071e-03,4.073257882065e-03,16.000000,1
182,8.242161026006e-03,1.330233133895e-02,14.000000,1
183,8.494592749465e-04,9.252687623812e-04,19.000000,1
184,7.457192521374e-04,6.193547565426e-04,20.000000,1
185,4.916674459044e-03,1.469579147129e-02,14.000000,1
186,9.947994858511e-03,1.707873574264e-02,14.000000,1
187,6.188278595532e-03,1.524082297999e-03,19.000000,1
188,3.051021373595e-03,2.120429742515e-03,17.000000,1
189,1.086707792304e-03,1.893061912413e-03,17.000000,1
190,9.313549693196e-03,2.567764406543e-03,16.000000,1
191,6.720271020939e-03,2.284256141120e-03,16.000000,1
192,1.448753139311e-03,1.241150677807e-03,17.000000,1
193,9.391618305797e-03,1.564019313755e-03,13.000000,1
194,8.639806396894e-03,6.589376687972e-03,16.000000,1
195,9.216034403957e-03,1.939506816706e-03,18.000000,1
196,5.900773810669e-03,8.680442084708e-03,20.000000,1
197,2.240999017929e-03,4.720485559410e-04,25.000000,1
198,2.165179954435e-03,4.111552501699e-03,17.000000,1
199,6.288303473363e-03,1.741778479050e-02,27.000000,1
200,2.385337805532e-03,3.258764416551e-03,22.000000,1
201,4.985674615582e-03,2.752373956198e-03,20.000000,1
202,8.075932660709e-04,0.000000000000e+00,17.000000,1
203,9.545182211201e-03,1.007468757615e-02,13.000000,1
204,9.455301007693e-04,7.190651971486e-04,17.000000,1
205,4.949170256812e-03,1.186490533100e-03,18.000000,1
206,7.112879456212e-04,2.205517203102e-04,15.000000,1
207,3.489322228674e-03,2.979859213130e-04,15.000000,1
208,2.840520282228e-03,1.720340564096e-03,16.000000,1
209,5.553051184283e-03,3.626136384576e-03,27.000000,1
210,4.335261265229e-03,6.377766283181e-03,18.000000,1
211,5.229335026783e-03,9.284352829837e-03,23.000000,1
212,2.937504896623e-03,9.532974509423e-04,20.000000,1
213,7.170627092144e-03,1.871933696552e-03,18.000000,1
214,1.300539448778e-03,3.242435947291e-04,17.000000,1
215,6.034818852891e-03,4.673417324317e-03,16.000000,1
216,1.456799857686e-03,3.985905938047e-04,13.000000,1
217,5.705070919170e-03,2.456221181365e-03,22.000000,1
218,5.194156109560e-03,7.102220829727e-03,21.000000,1
219,6.181950783296e-03,7.413376245141e-04,22.000000,1
220,8.211295205130e-03,7.837800999353e-03,19.000000,1
221,1.324787172950e-03,3.506785795891e-04,14.000000,1
222,9.995270666064e-03,1.137863742239e-03,20.000000,1
223,8.882967364694e-04,1.590216263720e-03,17.000000,1
224,9.669376442183e-03,1.268729609703e-02,13.000000,1
225,4.463784490435e-03,1.086271391096e-02,14.000000,1
226,6.627573267213e-04,1.367699936475e-03,19.000000,1
227,3.955755028274e-03,2.397788685066e-03,15.000000,1
228,4.419695999652e-03,9.078904336717e-04,18.000000,1
229,9.364680947906e-03,6.383620255169e-04,21.000000,1
230,6.066576703615e-03,1.251921585259e-03,19.000000,1
231,5.057657782760e-03,2.199290621864e-03,14.000000,1
232,6.358242939988e-04,0.000000000000e+00,16.000000,1
233,8.615094020327e-03,3.313153922967e-03,27.000000,1
234,5.258776667147e-03,1.200827999647e-03,15.000000,1
235,6.669252459570e-03,2.461981434078e-03,13.000000,1
236,5.373984394343e-04,1.050471712163e-03,18.000000,1
237,5.240167635922e-04,3.553503239114e-04,43.000000,1
238,4.831379118032e-03,2.010190191625e-03,17.000000,1
239,4.101107870891e-03,4.110030982531e-03,20.000000,1
240,7.226907916298e-04,3.139348361531e-04,26.000000,1
241,6.059678933991e-03,2.177950296495e-03,13.000000,1
242,7.200877892333e-03,1.600674600939e-03,16.000000,1
243,1.950523757716e-03,2.940895499051e-03,17.000000,1
244,5.364308696057e-04,7.363811932949e-04,21.000000,1
245,4.428926550939e-03,1.027635005103e-03,17.000000,1
246,3.982045610828e-03,4.437722369426e-04,17.000000,1
247,3.244994748321e-03,9.945539849387e-04,14.000000,1
248,8.009369579894e-03,7.195961234489e-03,16.000000,1
249,3.456506345467e-03,1.972230646428e-03,13.000000,1
250,7.812215701838e-03,7.837990529678e-03,15.000000,1
251,5.868777134956e-03,6.816226389356e-03,17.000000,1
252,4.518519957390e-03,8.586453669943e-03,15.000000,1
253,9.858025601657e-04,9.081932631650e-04,18.000000,1
254,7.395426382136e-04,1.134538674786e-03,17.000000,1
255,3.351509139262e-03,1.580100707068e-03,13.000000,1
256,7.476790626018e-03,6.917795445505e-03,18.000000,1
257,2.517540015081e-03,1.092874677396e-03,14.000000,1
258,2.931154358744e-03,1.733604204796e-03,15.000000,1
259,6.226039559881e-04,8.718943158749e-04,15.000000,1
260,1.648248359264e-03,8.299130990625e-04,15.000000,1
261,5.916035219979e-03,1.319913696546e-03,13.000000,1
262,4.679919706974e-03,7.151883012214e-03,13.000000,1
263,1.243375873111e-03,6.873273630103e-04,18.000000,1
264,9.187880593222e-03,3.918154924710e-03,17.000000,1
265,6.895623978596e-03,9.032568833966e-03,13.000000,1
266,3.435722665878e-03,1.366005199706e-03,15.000000,1
267,7.466727321105e-03,2.973993781588e-03,19.000000,1
268,5.514689187131e-03,1.253914899151e-03,14.000000,1
269,1.023605662315e-03,5.176732008297e-04,15.000000,1
270,9.092985059944e-03,1.717219798298e-03,18.000000,1
271,4.401335616445e-03,5.882055160090e-03,17.000000,1
272,5.488870233636e-03,1.931040803130e-03,16.000000,1
273,4.599040395973e-03,5.286643057380e-03,24.000000,1
274,8.878444827529e-03,1.552061054694e-03,18.000000,1
275,7.295998555052e-04,8.254843857584e-04,16.000000,1
276,4.158140986101e-03,1.967149829543e-03,14.000000,1
277,7.843137608532e-03,8.099529903469e-03,16.000000,1
278,5.406424504139e-03,9.312048749700e-04,16.000000,1
279,1.516665697270e-03,2.338433510482e-04,18.000000,1
280,6.508444152298e-03,7.312023983657e-03,17.000000,1
281,2.845089859441e-03,9.793283802830e-04,15.000000,1
282,1.903984936116e-03,2.664825421637e-04,15.000000,1
283,8.914820346938e-03,3.971265067844e-03,13.000000,1
284,1.706927795288e-03,4.006513912649e-04,15.000000,1
285,3.439533286711e-03,9.139675890785e-03,16.000000,1
286,5.981218202032e-03,1.045586180547e-03,15.000000,1
287,5.517467686108e-03,9.196628326618e-03,14.000000,1
288,2.438418810109e-03,1.106892834283e-03,15.000000,1
289,7.247864677552e-04,1.098730382897e-03,15.000000,1
290,1.653135417016e-03,1.128919068129e-03,16.000000,1
291,7.379350556083e-03,2.534571879835e-03,15.000000,1
292,2.998678272961e-03,2.018999522787e-03,12.000000,1
293,1.804927906693e-03,1.035119278496e-03,16.000000,1
294,6.145040069397e-03,1.891560080612e-03,13.000000,1
295,3.970172157366e-03,1.557309701766e-03,15.000000,1
296,5.168765155944e-03,4.544497132013e-03,15.000000,1
297,1.538179554372e-03,3.782781957616e-03,15.000000,1
298,5.681091584142e-03,9.831142407623e-03,31.000000,1
299,6.453357080107e-03,1.680204160436e-03,16.000000,1
300,7.513333819229e-03,1.781279625759e-03,16.000000,1
301,3.075448309043e-03,9.686167827794e-04,14.000000,1
302,8.342309399918e-03,5.832672192966e-03,20.000000,1
303,1.662963748011e-04,4.476238510492e-04,22.000000,1
304,4.602142041408e-03,2.001169254041e-03,22.000000,1
