target_id,pos_error_m,rot_error_rad,num_iterations,converged
0,4.144565098143e-03,4.466703278676e-03,16.000000,1
1,4.818199041422e-03,1.030864158367e-03,13.000000,1
2,2.160730006720e-03,7.897313903365e-04,19.000000,1
3,4.922150505707e-03,1.923233649830e-03,21.000000,1
4,8.959123502408e-05,4.052076350279e-04,15.000000,1
5,1.416628195651e-03,1.956131127650e-03,16.000000,1
6,6.656902226557e-03,8.160032099688e-04,20.000000,1
7,1.509596199923e-03,2.030364258151e-03,16.000000,1
8,1.881459852044e-03,1.034747234477e-04,16.000000,1
9,6.468554282775e-04,3.814369792570e-04,15.000000,1
10,8.935221209784e-03,1.312780841498e-03,13.000000,1
11,3.441200590466e-03,5.742754599232e-04,22.000000,1
12,5.862744103094e-03,1.164389802549e-02,16.000000,1
13,1.661099576030e-03,5.372047564470e-04,21.000000,1
14,8.571911831663e-03,1.959042477174e-03,15.000000,1
15,1.487994203226e-03,7.505820480192e-03,17.000000,1
16,1.510154218251e-03,2.471305096493e-04,13.000000,1
17,2.663980212115e-03,2.208851565114e-03,16.000000,1
18,1.235837473562e-03,0.000000000000e+00,14.000000,1
19,3.012354667883e-03,1.001340385872e-03,19.000000,1
20,3.936265840899e-03,5.805501164790e-04,23.000000,1
21,1.407247926803e-03,3.712382769398e-04,16.000000,1
22,5.930342886277e-03,2.413321984861e-03,17.000000,1
23,9.156597469275e-03,1.265618939940e-03,14.000000,1
24,4.297266439398e-03,1.425809707781e-03,15.000000,1
25,1.348615006175e-03,1.273963492814e-03,20.000000,1
26,8.387170702936e-03,7.078891392683e-03,15.000000,1
27,7.505413505048e-03,1.935061722326e-03,14.000000,1
28,4.983312424479e-03,7.222378422481e-04,17.000000,1
29,6.796885953834e-03,1.047408878370e-03,14.000000,1
30,9.563106627369e-03,1.954668290420e-03,17.000000,1
31,3.812570935085e-03,2.499926400516e-03,15.000000,1
32,3.719193336007e-04,4.644805074608e-04,19.000000,1
33,5.281394965470e-04,3.767339685913e-04,20.000000,1
34,2.401957771382e-03,2.895035811776e-03,19.000000,1
35,7.081339305209e-03,1.267677561263e-03,14.000000,1
36,5.599758212108e-03,2.899992348095e-03,13.000000,1
37,6.974242936093e-03,2.899662483804e-03,15.000000,1
38,6.891965113028e-03,1.029965886343e-02,13.000000,1
39,4.709385402816e-03,1.072256513679e-02,17.000000,1
40,7.770514376774e-03,1.780444203931e-03,16.000000,1
41,3.908486555820e-03,4.394579626155e-04,14.000000,1
42,4.764067870207e-04,3.499216917376e-04,15.000000,1
43,4.505324040699e-03,7.957809274550e-04,16.000000,1
44,7.441892661919e-03,7.597871226542e-04,16.000000,1
45,4.032863263915e-03,4.325790728561e-03,18.000000,1
46,3.380868622041e-04,6.426634210395e-04,16.000000,1
47,7.545663584048e-03,8.699783438214e-03,17.000000,1
48,9.921549408110e-03,2.023861591127e-03,16.000000,1
49,1.175426297109e-03,9.221106454732e-04,17.000000,1
50,8.109475903322e-03,1.271538295385e-03,17.000000,1
51,2.275810130318e-03,6.741723577499e-03,18.000000,1
52,7.245200915697e-04,3.376507901365e-04,16.000000,1
53,5.689493848631e-03,6.427123820781e-03,21.000000,1
54,5.335655066198e-04,2.730728670466e-04,21.000000,1
55,1.042634190381e-03,4.372468023644e-04,16.000000,1
56,4.492200081869e-03,2.324523224971e-03,17.000000,1
57,2.624340881150e-04,0.000000000000e+00,16.000000,1
58,7.577535456672e-03,2.024499124864e-03,17.000000,1
59,6.601754562009e-03,1.309275666212e-03,15.000000,1
60,2.366951372545e-03,6.990609246206e-04,18.000000,1
61,6.690685592898e-03,3.681956598726e-03,15.000000,1
62,3.658810948599e-03,2.155043360354e-03,16.000000,1
63,3.431751451746e-03,8.063765396592e-03,14.000000,1
64,3.995315572479e-03,1.538911167034e-03,14.000000,1
65,5.525735703969e-03,6.732879306731e-03,13.000000,1
66,2.298578798427e-03,8.118450973985e-04,17.000000,1
67,8.733007734389e-03,4.256841370760e-03,17.000000,1
68,7.504893376387e-04,4.664278286725e-04,21.000000,1
69,7.279897319640e-03,9.703572679959e-04,15.000000,1
70,2.633611130883e-03,1.209126097058e-03,19.000000,1
71,6.519070847413e-04,1.200338335115e-03,14.000000,1
72,5.601372865897e-03,3.367087155458e-03,15.000000,1
73,7.482808672509e-04,3.899691412280e-04,17.000000,1
74,6.875029861827e-03,8.732876921055e-03,17.000000,1
75,8.189549627511e-03,8.323071449054e-04,15.000000,1
76,8.403742282110e-03,2.696720055405e-03,16.000000,1
77,4.970613705913e-03,1.904100649936e-03,16.000000,1
78,9.310235809267e-03,9.951350315655e-03,15.000000,1
79,8.077607605564e-03,8.328761201211e-04,22.000000,1
80,1.023425716306e-03,1.236818641962e-03,17.000000,1
81,6.984998686848e-03,1.620679997395e-03,14.000000,1
82,2.294049987142e-03,1.040189994468e-02,21.000000,1
83,6.573017747309e-03,3.897903141616e-03,17.000000,1
84,1.370848261836e-03,6.103092557183e-04,18.000000,1
85,5.336864044925e-03,6.976052508105e-03,24.000000,1
86,7.739400432581e-03,9.426749574457e-03,26.000000,1
87,2.957860041104e-03,2.026056476785e-03,14.000000,1
88,4.591724278352e-03,1.744729119827e-03,23.000000,1
89,4.667558516520e-03,9.732833400813e-03,19.000000,1
90,2.510493155597e-03,1.174488966179e-03,17.000000,1
91,7.576899412285e-03,2.685882076674e-03,16.000000,1
92,8.078636823196e-03,5.117096904519e-03,18.000000,1
93,3.884541554868e-03,1.861985482414e-03,20.000000,1
94,3.980104777860e-03,3.582633066282e-03,14.000000,1
95,9.575083658260e-03,6.557865557366e-03,14.000000,1
96,1.095693670768e-03,0.000000000000e+00,15.000000,1
97,4.225767474157e-03,1.588537995453e-03,14.000000,1
98,1.359753678406e-03,1.123414883336e-03,15.000000,1
