target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
0,7.202791200999777e-08,1.3657139822709094e-07,1,1,1
1,8.603097434033629e-08,8.429369702178808e-08,1,1,1
2,2.8733683657905078e-08,5.575503985246929e-08,1,1,1
3,5.325059496969319e-08,1.0745380149674388e-07,1,1,1
4,1.20416904795165e-07,9.185692672385244e-08,1,1,1
5,5.0517222981600654e-08,1.1151007970493862e-07,1,1,1
6,5.4111238316462484e-08,1.0106459234841571e-07,1,1,1
7,9.924086423494954e-08,1.490116119384767e-07,1,1,1
8,7.933287637788592e-08,1.3657139822709094e-07,1,1,1
9,5.8451225364774455e-08,1.3657139822709094e-07,1,1,1
10,6.454325558229505e-08,2.546311540996299e-07,1,1,1
11,3.7241408197368557e-08,7.884953353001449e-08,1,1,1
12,1.283519944340958e-07,9.424321830774487e-08,1,1,1
13,1.2286133316055707e-07,4.712160915387242e-08,1,1,1
14,7.008366738869978e-08,1.8005141576520485e-07,1,1,1
15,5.212500660234214e-08,2.1073424255447054e-07,1,1,1
16,3.510365867100045e-08,1.99920056238752e-07,1,1,1
17,2.0490770617485868e-08,9.884312124119404e-08,1,1,1
18,8.733884661509834e-08,2.7717762049642705e-07,1,1,1
19,5.675092182699734e-08,1.698993779866605e-07,1,1,1
20,4.1630054593951533e-08,9.185692672385244e-08,1,1,1
21,6.235424216602719e-08,3.139869497076506e-07,1,1,1
22,1.139937527892398e-07,1.9768624248238833e-07,1,1,1
23,1.0552561576594318e-07,2.546311540996299e-07,1,1,1
24,6.308905306411526e-08,1.576990670600291e-07,1,1,1
25,2.133993240355418e-08,1.490116119384767e-07,1,1,1
26,9.612622502279824e-08,4.6025053296925533e-07,1,1,1
27,6.222101436133807e-08,9.424321830774487e-08,1,1,1
28,3.7021840612346714e-08,7.300048299977716e-08,1,1,1
29,1.1699529979837674e-07,1.6323404237781964e-07,1,1,1
30,4.273479459933951e-08,8.161702118890975e-08,1,1,1
31,1.0251684193013245e-07,6.989264130329237e-08,1,1,1
32,4.6702133667334513e-08,1.9428737179048833e-07,1,1,1
33,2.6609618663566457e-07,3.3453023911481726e-07,1,1,1
34,4.9980742451905074e-08,8.688795409866128e-08,1,1,1
35,4.046591872005704e-08,1.5196262340524166e-07,1,1,1
36,4.090374936479276e-08,2.3371558102008936e-07,1,1,1
37,4.838949477851132e-08,1.2467205919833125e-07,1,1,1
38,7.614833244295869e-08,1.3818768405162858e-07,1,1,1
39,8.000575383629634e-08,1.1733186057227575e-07,1,1,1
40,1.3713683036455418e-07,4.2041349350410664e-07,1,1,1
41,7.382287658151219e-08,1.1920928955078133e-07,1,1,1
42,6.450713286118636e-08,2.2500259981366294e-07,1,1,1
