target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
0,1.1635136171559914e-07,1.9428737179048833e-07,1,1,1
1,7.053491224839276e-08,8.940696716308596e-08,1,1,1
2,9.13324219327769e-08,3.6500241499888574e-08,1,1,1
3,2.070257116275077e-08,1.534168443230839e-07,1,1,1
4,2.3592286775207113e-08,1.2105760581248948e-07,1,1,1
5,4.6821684983301284e-08,5.960464477539064e-08,1,1,1
6,6.60704966285862e-08,7.598131170262078e-08,1,1,1
7,6.747771457752513e-08,1.2105760581248948e-07,1,1,1
8,1.5358851254911366e-07,1.8611544365878127e-07,1,1,1
9,9.189795737483328e-08,6.322027276634106e-08,1,1,1
10,8.528823796471259e-08,9.424321830774487e-08,1,1,1
11,3.046758772094327e-08,1.0950072449966577e-07,1,1,1
12,8.794556771533657e-08,8.940696716308596e-08,1,1,1
13,7.522859713840778e-08,2.3276357876976346e-07,1,1,1
14,5.942310127708179e-08,1.264405455326822e-07,1,1,1
15,7.084931234026224e-08,1.264405455326822e-07,1,1,1
16,1.4647904821445457e-07,7.598131170262078e-08,1,1,1
17,1.295752946570509e-07,1.8371385344770506e-07,1,1,1
18,3.87982593697865e-08,1.332800374925012e-07,1,1,1
19,2.5836712287785164e-08,1.8848643661548996e-07,1,1,1
20,4.100797492600715e-08,1.2818463544611084e-07,1,1,1
21,1.0430516860954589e-07,4.2146848510894035e-08,1,1,1
22,9.323933907628698e-08,1.0323827311807144e-07,1,1,1
23,7.889340603705929e-08,1.4751396978812924e-07,1,1,1
24,2.4524059094884764e-07,2.0861625671386756e-07,1,1,1
25,1.2349928197094937e-07,1.3978528260658483e-07,1,1,1
26,7.380945295485293e-08,2.7232865814115286e-07,1,1,1
27,4.885722103095795e-08,1.5485740967710726e-07,1,1,1
28,1.8151582060755824e-07,1.9314112360500902e-07,1,1,1
29,5.9066711327365594e-08,1.0745380149674388e-07,1,1,1
30,4.468766666568847e-07,1.2467205919833125e-07,1,1,1
31,8.125028639665136e-08,1.7120130796843874e-07,1,1,1
32,8.45706635478963e-08,1.659323085197815e-07,1,1,1
33,5.309460380103996e-08,1.1151007970493862e-07,1,1,1
34,1.1635724711950328e-07,1.788139343261721e-07,1,1,1
35,2.843945832213037e-07,1.0323827311807144e-07,1,1,1
36,8.804245690448333e-09,1.3818768405162858e-07,1,1,1
37,1.2443572150392662e-07,2.2500259981366294e-07,1,1,1
38,1.248615412072649e-07,1.6858739404357632e-07,1,1,1
39,1.3597347488643734e-07,1.429269171748377e-07,1,1,1
40,8.895798094637858e-08,1.1348386266624797e-07,1,1,1
41,1.2101213953815344e-07,1.1920928955078133e-07,1,1,1
42,1.44334454696955e-07,9.884312124119404e-08,1,1,1
43,3.2600856441594185e-07,1.1733186057227575e-07,1,1,1
44,1.0889908313440848e-07,1.460009659995544e-07,1,1,1
45,6.818306169166425e-08,1.2287812309317777e-07,1,1,1
46,3.083464684296171e-08,7.300048299977716e-08,1,1,1
47,7.055724460796935e-08,2.0431442857983876e-07,1,1,1
