method,graph,N,timing_type,time_ms_mean,time_ms_std,time_ms_min,time_ms_max,time_ms_p50,time_ms_p95,h2d_time_ms,d2h_time_ms_mean,e2e_time_ms,raw_targets_per_s,valid_targets_per_s,success_rate,success_rate_loose,success_rate_strict,avg_pos_error_m,pos_error_p50_m,pos_error_p95_m,avg_rot_error_rad,rot_error_p50_rad,rot_error_p95_rad,avg_iterations
CUDA-Mixed,N/A,100,kernel,1.238277,0.041355,1.148544,1.295584,1.25416,1.294568,0.01251,1.254246,2.505033,80757.354091,80757.354091,1.0,1.0,0.59,0.004475740351,0.004514239785,0.008673288303,0.002768825487,0.00170397821,0.007513751839,16.05
CUDA-Mixed-Graph,On,100,kernel,1.230923,0.067074,1.141024,1.46944,1.224704,1.349888,0.014075,0.014633,1.259631,81239.872062,81239.872062,1.0,1.0,0.59,0.004475740351,0.004514239785,0.008673288303,0.002768825487,0.00170397821,0.007513751839,16.05
cuRobo,Off,100,gpu_stream,34.38027521769206,5.225076398033579,,,33.194651499798056,38.7450805021217,,,34.41006310022203,2908.644545944184,2908.644545944184,1.0,1.0,1.0,9.328517999672256e-08,8.51458328438252e-08,1.822624442912437e-07,1.234913513559482e-07,1.2105760581248948e-07,2.2891598188485577e-07,
cuRobo,On,100,gpu_stream,2.6042890787124633,0.12562748398451556,,,2.5949770024453755,2.853556249829125,,,2.6268080344986324,38398.195045781584,38398.195045781584,1.0,1.0,1.0,9.328517999672256e-08,8.51458328438252e-08,1.822624442912437e-07,1.234913513559482e-07,1.2105760581248948e-07,2.2891598188485577e-07,
CUDA-Mixed,N/A,500,kernel,3.893961,0.048504,3.774272,3.962816,3.905808,3.955635,0.045331,3.914358,7.853649,128403.971979,128147.164035,0.998,0.998,0.64,0.004339252748,0.003805952329,0.009194062402,0.003083759972,0.002105442902,0.009439768427,16.656
CUDA-Mixed-Graph,On,500,kernel,3.501285,0.14186,3.31776,4.030752,3.46112,3.792896,0.027043,0.01929,3.547618,142804.699325,142519.089926,0.998,0.998,0.64,0.004339252748,0.003805952329,0.009194062402,0.003083759972,0.002105442902,0.009439768427,16.656
cuRobo,Off,500,gpu_stream,31.447891108194987,3.1816499577485238,,,29.94647450032062,37.68426434835419,,,31.479266066647444,15899.317327186538,15899.317327186538,1.0,1.0,1.0,1.1357505275124439e-07,8.880493222944149e-08,3.0948644838460805e-07,1.3027209267955122e-07,1.264405455326822e-07,2.2302015940987762e-07,
cuRobo,On,500,gpu_stream,2.598758419354757,0.13668151029358677,,,2.591824497358175,2.979535250779008,,,2.6212295328150503,192399.5690696577,192399.5690696577,1.0,1.0,1.0,1.1357505275124439e-07,8.880493222944149e-08,3.0948644838460805e-07,1.3027209267955122e-07,1.264405455326822e-07,2.2302015940987762e-07,
CUDA-Mixed,N/A,1000,kernel,7.208809,0.492985,6.659104,8.374272,7.145744,7.821984,0.050625,7.234569,14.494003,138719.178206,138719.178206,1.0,1.0,0.632,0.004019893669,0.003481570295,0.00918794427,0.00331587075,0.001823590054,0.011359957715,17.341
CUDA-Mixed-Graph,On,1000,kernel,6.785126,0.133617,6.6048,7.26528,6.761984,7.008205,0.045304,0.026169,6.856599,147381.189193,147381.189193,1.0,1.0,0.632,0.004019893669,0.003481570295,0.00918794427,0.00331587075,0.001823590054,0.011359957715,17.341
