ablation_level,N,kernel_time_ms_mean,kernel_time_ms_std,e2e_time_ms,throughput_targets_per_s,valid_throughput,success_rate,success_rate_loose,success_rate_strict,avg_pos_error_m,avg_rot_error_rad,avg_iterations
A0-GlobalMem,100,1.163502,0.037906,2.354572,85947.434972,85947.434972,1.0,1.0,0.17,0.006857835578,0.002135081257,7.78
A1-ConstantMem,100,13.085835,0.81955,26.20349,7641.851099,6342.736413,0.83,1.0,0.17,0.005011552826,0.049618614503,31.35
A2-PaddedMat,100,12.405166,0.223576,24.841701,8061.157877,6690.761038,0.83,1.0,0.17,0.005011552826,0.049618614503,31.35
A3-RegLDLT,100,12.368943,0.196909,24.766658,8084.765274,6710.355177,0.83,1.0,0.17,0.005011552826,0.049618614503,31.35
A4-KernelFusion,100,12.493604,0.325113,25.015649,8004.095357,6643.399146,0.83,1.0,0.17,0.005011552826,0.049618614503,31.35
A5-AdapDamp,100,2.117305,0.06374,4.260565,47229.861069,47229.861069,1.0,1.0,0.73,0.003896060226,0.000688998807,14.95
A6-FullOptimized,100,2.669785,0.081972,5.368212,37456.206027,37456.206027,1.0,1.0,0.65,0.003906343516,0.000732062042,16.94
A7-MixedPrec,100,1.10362,0.042626,2.235283,90610.876438,90610.876438,1.0,1.0,0.59,0.004475740351,0.002768825487,16.05
A0-GlobalMem,500,4.436364,0.097395,8.917636,112704.914472,112704.914472,1.0,1.0,0.28,0.006306596729,0.001827921247,8.284
A1-ConstantMem,500,47.014733,0.981667,94.080895,10634.964209,5572.721245,0.524,0.71,0.152,0.053615504631,0.18052784899,79.622
A2-PaddedMat,500,47.060821,1.043919,94.171273,10624.549137,5567.263748,0.524,0.71,0.152,0.053615504631,0.18052784899,79.622
A3-RegLDLT,500,46.888068,0.918809,93.841756,10663.69374,5587.77552,0.524,0.71,0.152,0.053615504631,0.18052784899,79.622
A4-KernelFusion,500,46.850778,0.949576,93.752544,10672.181438,5592.223073,0.524,0.71,0.152,0.053615504631,0.18052784899,79.622
A5-AdapDamp,500,8.094112,0.196312,16.23576,61773.298556,61773.298556,1.0,1.0,0.684,0.003992349051,0.000735285683,14.896
A6-FullOptimized,500,10.610959,0.231152,21.269713,47121.09438,47121.09438,1.0,1.0,0.588,0.004266775557,0.000968043634,17.25
A7-MixedPrec,500,3.467703,0.059405,6.981975,144187.646903,143899.271609,0.998,0.998,0.64,0.004339252748,0.003083759972,16.656
A0-GlobalMem,1000,9.191845,0.204219,18.451015,108792.083844,108792.083844,1.0,1.0,0.256,0.006406926793,0.001773252854,8.843
A1-ConstantMem,1000,109.103717,1.379714,218.28578,9165.590569,3748.726543,0.409,0.47,0.169,0.065537610022,0.314578543048,98.136
A2-PaddedMat,1000,109.556603,1.463427,219.194841,9127.701737,3733.23001,0.409,0.47,0.169,0.065537610022,0.314578543048,98.136
A3-RegLDLT,1000,109.081067,1.160593,218.250486,9167.493759,3749.504948,0.409,0.47,0.169,0.065537610022,0.314578543048,98.136
A4-KernelFusion,1000,108.74943,1.322209,217.588185,9195.45051,3760.939259,0.409,0.47,0.169,0.065537610022,0.314578543048,98.136
A5-AdapDamp,1000,17.312686,0.347751,34.693626,57761.112397,57761.112397,1.0,1.0,0.604,0.003944145697,0.000413745509,16.176
A6-FullOptimized,1000,22.555299,0.41913,45.179956,44335.479291,44335.479291,1.0,1.0,0.534,0.004704197738,0.000824341731,18.555
A7-MixedPrec,1000,6.811185,0.15562,13.692191,146817.329019,146817.329019,1.0,1.0,0.632,0.004019893669,0.00331587075,17.341
A0-GlobalMem,5000,40.654687,0.403635,81.554406,122987.049081,122987.049081,1.0,1.0,0.349,0.006184707475,0.001853728776,8.224
A1-ConstantMem,5000,395.510436,1.34837,791.211602,12641.891452,7036.476782,0.5566,0.711,0.2178,0.033225150218,0.169318852842,74.3426
A2-PaddedMat,5000,394.00144,1.863369,788.096089,12690.308935,7063.425953,0.5566,0.711,0.2178,0.033225150218,0.169318852842,74.3426
A3-RegLDLT,5000,392.55598,1.582925,785.246546,12737.03688,7089.434727,0.5566,0.711,0.2178,0.033225150218,0.169318852842,74.3426
A4-KernelFusion,5000,392.161634,1.186499,784.504977,12749.844866,7096.563652,0.5566,0.711,0.2178,0.033225150218,0.169318852842,74.3426
A5-AdapDamp,5000,81.765278,0.191146,163.764333,61150.651551,61150.651551,1.0,1.0,0.6374,0.004052805442,0.000667682646,15.806
A6-FullOptimized,5000,105.612994,0.287437,211.453447,47342.659198,47342.659198,1.0,1.0,0.6046,0.004360150167,0.00088229315,17.9306
A7-MixedPrec,5000,31.465436,0.187681,63.175213,158904.521886,158809.179173,0.9994,0.9994,0.6076,0.004397973631,0.003222428357,16.64
