N,graph_mode,repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
100,off,0,1.4e-05,0.011744,0.002408,7.01497602,0.0117119998,7.065092,0
100,off,1,1.3e-05,0.0114879999,0.002336,7.01312017,0.0116800005,7.064119,0
100,off,2,1.4e-05,0.0118720001,0.002758,7.01001596,0.0116800005,7.057656,0
100,off,3,1.3e-05,0.0116800005,0.002517,7.01356792,0.0107840002,7.061468,0
100,off,4,1.4e-05,0.0114559997,0.00223,7.01900816,0.0103040002,7.068584,0
100,off,5,1.4e-05,0.0112960003,0.002655,7.00963211,0.011744,7.057531,0
100,off,6,1.4e-05,0.0114240004,0.002599,7.0159359,0.0106880004,7.059293,0
100,off,7,1.4e-05,0.0156479999,0.002222,6.93599987,0.00591999991,7.141546,0
100,off,8,1.4e-05,0.0141759999,0.002842,8.66499233,0.0123199997,8.718098,0
100,off,9,1.5e-05,0.0172799993,0.003173,6.80204821,0.0114240004,6.975055,0
100,off,10,1.3e-05,0.01712,0.004047,6.72899199,0.00412799977,6.774136,0
100,off,11,1.3e-05,0.0129920002,0.005858,6.30223989,0.00499199983,6.339574,0
100,off,12,1.4e-05,0.0120000001,0.004046,6.15791988,0.0110400002,6.368013,0
100,off,13,1.4e-05,0.0122560002,0.004138,6.2432642,0.00463999994,6.280942,0
100,off,14,1.4e-05,0.0152639998,0.003335,6.24070406,0.00518399989,6.286354,0
100,off,15,1.5e-05,0.0120959999,0.003206,6.23526382,0.0116800005,6.286374,0
100,off,16,1.3e-05,0.011616,0.003459,6.24054384,0.00412799977,6.277418,0
100,off,17,1.5e-05,0.0163519997,0.004049,6.23974419,0.0114879999,6.29404,0
100,off,18,1.2e-05,0.0108160004,0.002298,6.24639988,0.00543999998,6.284108,0
100,off,19,1.4e-05,0.0151040005,0.002594,6.15462399,0.00528000016,6.200653,0
100,off,20,1.4e-05,0.0155520001,0.002505,6.24486399,0.011616,6.301903,0
100,off,21,1.4e-05,0.0112960003,0.002722,6.24406385,0.0115839997,6.292432,0
100,off,22,1.3e-05,0.0115200002,0.002343,6.24809599,0.0114559997,6.293858,0
100,off,23,1.4e-05,0.0113920001,0.002202,6.24028778,0.0105919996,6.289628,0
100,off,24,1.4e-05,0.0112640001,0.002464,6.24118423,0.0106880004,6.285725,0
100,off,25,1.4e-05,0.0111039998,0.002767,6.24223995,0.00508800009,6.278907,0
100,off,26,1.5e-05,0.0118399998,0.002541,6.23923206,0.0105600003,6.285451,0
100,off,27,1.4e-05,0.0107840002,0.002281,6.23996782,0.0116800005,6.284596,0
100,off,28,1.4e-05,0.0106560001,0.002311,6.24521589,0.0113599999,6.291595,0
100,off,29,1.3e-05,0.011008,0.002424,6.26326418,0.0117119998,6.31138,0
100,off,30,1.4e-05,0.0114240004,0.002525,6.24035215,0.0106560001,6.282684,0
100,off,31,1.2e-05,0.0164160002,0.002234,6.23571205,0.0117119998,6.290646,0
100,off,32,1.3e-05,0.0113920001,0.002317,6.23808002,0.00463999994,6.276437,0
100,off,33,1.3e-05,0.0167040005,0.002681,6.24435186,0.0106239999,6.300727,0
100,off,34,1.3e-05,0.0113279996,0.002213,6.24495983,0.0107519999,6.291101,0
100,off,35,1.3e-05,0.0113279996,0.002389,6.24092817,0.00521600014,6.279478,0
100,off,36,1.4e-05,0.0131839998,0.002681,6.24902391,0.0105600003,6.298676,0
100,off,37,1.5e-05,0.0156800002,0.002411,6.24492788,0.0117119998,6.298421,0
100,off,38,1.4e-05,0.0111680003,0.002277,6.23747206,0.0105600003,6.284066,0
100,off,39,1.4e-05,0.0112319998,0.002213,6.21270418,0.0132799996,6.60824,0
100,off,40,0.00015,0.045984,0.026147,6.598176,0.0117119998,6.696691,0
100,off,41,1.4e-05,0.0118720001,0.003736,7.49590397,0.0130559998,8.013792,0
100,off,42,1.4e-05,0.0165119991,0.002443,6.7609601,0.0107199997,7.151429,0
100,off,43,1.3e-05,0.0122239999,0.003782,6.37411213,0.0116480002,6.422322,0
100,off,44,1.4e-05,0.0111039998,0.003444,6.42867184,0.00463999994,6.466177,0
100,off,45,1.3e-05,0.0121600004,0.004346,6.2436161,0.00444799988,6.282858,0
100,off,46,1.4e-05,0.0162879992,0.003495,6.23987198,0.00422400003,6.286559,0
100,off,47,1.3e-05,0.0124159995,0.004151,6.15766382,0.0105919996,6.207623,0
100,off,48,1.3e-05,0.0117119998,0.007682,6.24377584,0.0105600003,6.291209,0
100,off,49,1.4e-05,0.0113920001,0.004393,6.24406385,0.0116480002,6.291233,0
100,off,50,1.2e-05,0.0116480002,0.00467,6.23958397,0.0114240004,6.286035,0
100,off,51,1.4e-05,0.0115520004,0.004606,6.56300783,0.0112960003,6.720268,0
100,off,52,1.3e-05,0.016384,0.004106,6.37993622,0.0115839997,6.434925,0
100,off,53,1.4e-05,0.01088,0.002632,6.24223995,0.0106239999,6.291092,0
100,off,54,1.3e-05,0.0113279996,0.002472,6.23977613,0.0113920001,6.286357,0
100,off,55,1.4e-05,0.0111039998,0.003468,6.23507214,0.00486399978,6.271304,0
100,off,56,1.4e-05,0.0115200002,0.00395,6.23878384,0.00515200011,6.275241,0
100,off,57,1.4e-05,0.0113920001,0.002967,6.23980808,0.0105600003,6.286431,0
100,off,58,1.3e-05,0.0109120002,0.00283,6.24665594,0.0105600003,6.293042,0
100,off,59,1.3e-05,0.0108160004,0.002616,6.24294376,0.0112640001,6.283218,0
100,off,60,1.4e-05,0.0113279996,0.00214,6.34822416,0.0115839997,6.394983,0
100,off,61,1.4e-05,0.0114879999,0.002288,6.24012804,0.0106880004,6.288458,0
100,off,62,1.5e-05,0.0113599999,0.002136,6.23913622,0.0106239999,6.290103,0
100,off,63,1.4e-05,0.0114240004,0.002534,6.242208,0.0115839997,6.289079,0
100,off,64,1.4e-05,0.0112960003,0.002396,6.23894405,0.0116480002,6.285728,0
100,off,65,1.3e-05,0.0112960003,0.002675,6.24659204,0.0106560001,6.294491,0
100,off,66,1.2e-05,0.0110719996,0.002281,6.16099215,0.0115200002,6.206345,0
100,off,67,1.4e-05,0.0114879999,0.002547,6.16387177,0.0105919996,6.211684,0
