repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,3.9e-05,0,0.016358,6.39174414,0,6.414062,0
1,1.3e-05,0,0.005948,6.92412806,0,6.937079,0
2,1.3e-05,0,0.00623,6.53036785,0,6.542198,0
3,1.5e-05,0,0.005374,6.67523193,0,6.689058,0
4,1.4e-05,0,0.006277,8.21289635,0,8.226081,0
5,1.3e-05,0,0.005261,6.60319996,0,6.612565,0
6,1.3e-05,0,0.004505,7.13766384,0,7.149839,0
7,1.4e-05,0,0.006312,6.181952,0,6.195139,0
8,1.3e-05,0,0.005696,6.72723198,0,6.745758,0
9,1.5e-05,0,0.006861,8.36828804,0,8.380468,0
10,1.4e-05,0,0.0048,6.77449608,0,6.785536,0
11,1.4e-05,0,0.00518,7.15075207,0,7.164862,0
12,1.3e-05,0,0.005923,6.17971182,0,6.194488,0
13,1.4e-05,0,0.007834,8.01705647,0,8.031042,0
14,1.3e-05,0,0.005465,7.33343983,0,7.345579,0
15,1.4e-05,0,0.005077,6.65945578,0,6.67241,0
16,1.3e-05,0,0.006134,6.69945621,0,6.712944,0
17,1.3e-05,0,0.006083,6.40572786,0,6.418805,0
18,1.4e-05,0,0.005168,8.64377594,0,8.65737,0
19,1.4e-05,0,0.005117,6.60374403,0,6.614248,0
20,1.3e-05,0,0.004912,6.9401598,0,6.951907,0
21,1.3e-05,0,0.005398,6.44415998,0,6.455972,0
22,1.5e-05,0,0.005248,7.47158384,0,7.486269,0
23,1.4e-05,0,0.006079,7.6184001,0,7.63054,0
24,1.4e-05,0,0.004727,6.48799992,0,6.497567,0
25,1.3e-05,0,0.004644,7.12275219,0,7.135961,0
26,1.3e-05,0,0.00543,6.17990398,0,6.19526,0
27,1.4e-05,0,0.006359,6.57260799,0,6.585973,0
28,1.4e-05,0,0.006731,8.4499197,0,8.461998,0
29,1.4e-05,0,0.004863,6.85683203,0,6.867385,0
30,1.4e-05,0,0.004995,6.96332788,0,6.975008,0
31,1.4e-05,0,0.00484,6.30592012,0,6.319591,0
32,1.5e-05,0,0.006121,8.29043198,0,8.306044,0
33,1.5e-05,0,0.006071,6.80748796,0,6.818439,0
34,1.4e-05,0,0.004591,6.66793585,0,6.681039,0
35,1.4e-05,0,0.005886,6.70720005,0,6.72102,0
36,1.4e-05,0,0.006129,6.3288641,0,6.342022,0
37,1.4e-05,0,0.006461,8.60374355,0,8.618816,0
38,1.4e-05,0,0.006149,6.68614388,0,6.697415,0
39,1.3e-05,0,0.004985,7.11433601,0,7.155289,0
40,2e-05,0,0.025692,6.19152021,0,6.222232,0
41,1.9e-05,0,0.017765,6.5683198,0,6.61687,0
42,2.3e-05,0,0.021138,8.81977558,0,8.835346,0
43,1.9e-05,0,0.006216,6.62748814,0,6.639253,0
44,1.4e-05,0,0.005411,6.9364481,0,6.948673,0
45,1.4e-05,0,0.005204,6.18537617,0,6.200182,0
46,1.4e-05,0,0.006083,7.92816019,0,7.941493,0
47,1.9e-05,0,0.00521,7.31955194,0,7.330811,0
48,1.3e-05,0,0.004813,6.89091206,0,6.902839,0
49,1.4e-05,0,0.004563,6.53945589,0,6.550764,0
50,1.4e-05,0,0.004928,6.6627841,0,6.676686,0
51,1.5e-05,0,0.005697,7.12864017,0,7.142821,0
52,1.4e-05,0,0.005777,8.02268791,0,8.033997,0
53,1.4e-05,0,0.004664,6.73638391,0,6.748537,0
54,1.3e-05,0,0.006085,6.729568,0,6.7491,0
55,1.4e-05,0,0.005601,6.53788805,0,6.551316,0
