repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.9e-05,0.159071997,0.018235,54.9269753,0.0465600006,55.169664,0
1,2.4e-05,0.155167997,0.017433,55.7464943,0.0476480015,55.990148,0
2,2.3e-05,0.155264005,0.018229,54.9228783,0.0588480011,55.183428,0
3,2.3e-05,0.207903996,0.022843,54.9334412,0.0426560007,55.222659,0
4,2.4e-05,0.153375998,0.016753,55.5376015,0.0570879988,55.998312,0
5,3.4e-05,0.246976003,0.032738,55.3613129,0.0597120002,55.717569,0
6,2.4e-05,0.204704002,0.023569,54.9367027,0.0425920002,55.21547,0
7,1.4e-05,0.162688002,0.013222,56.0473595,0.0401920006,56.280516,0
8,1.2e-05,0.150079995,0.012464,54.9199982,0.0447999984,55.145887,0
9,1.7e-05,0.181695998,0.013278,55.0604477,0.0416640006,55.314263,0
10,1.3e-05,0.154144004,0.017053,55.9622383,0.0426880009,56.19263,0
11,1.5e-05,0.160479993,0.014119,54.9180794,0.0405439995,55.147397,0
12,1.3e-05,0.158112004,0.012006,54.9320335,0.0559360012,55.18442,0
13,1.3e-05,0.200031996,0.019811,55.8638382,0.0352960005,56.233424,0
14,1.4e-05,0.157792002,0.013257,55.6829758,0.0375039987,55.908623,0
15,1.6e-05,0.148959994,0.010833,55.3756142,0.0402560011,55.594165,0
16,3.1e-05,0.153055996,0.013795,56.0074234,0.0440960005,56.236184,0
17,1.8e-05,0.154752001,0.017032,55.4440956,0.0495040007,55.817732,0
18,1.3e-05,0.374655992,0.013026,55.4574089,0.0531199984,55.923998,0
19,1.3e-05,0.202399999,0.018497,56.022049,0.0460800007,56.31037,0
20,2.5e-05,0.164639995,0.01902,55.1868172,0.0373440012,55.413505,0
21,1.2e-05,0.149887994,0.007566,55.2434883,0.0400959998,55.782539,0
22,1.3e-05,0.151135996,0.004681,55.7176971,0.0370879993,55.930503,0
23,1.2e-05,0.143391997,0.005345,55.1013756,0.0364160016,55.304673,0
24,1.4e-05,0.145824,0.004917,55.7058258,0.0371519998,56.158572,0
25,1.3e-05,0.146336004,0.004723,55.3902092,0.0368640013,55.598052,0
26,1.5e-05,0.142079994,0.005346,55.3648338,0.0350399986,55.565116,0
27,1.4e-05,0.141376004,0.005541,55.7408943,0.0431360006,56.084299,0
28,1.3e-05,0.146656007,0.005381,55.7168312,0.0375679992,55.925729,0
29,1.3e-05,0.143808007,0.005622,55.1406403,0.0335999988,55.342475,0
