repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.159584001,0.008329,56.5610886,0.0475520007,56.802496,0
1,1.3e-05,0.157056004,0.020849,56.2303352,0.0380159989,56.450294,0
2,1.2e-05,0.151263997,0.006202,56.1330872,0.0365439989,56.665759,0
3,1.3e-05,0.155231997,0.005123,56.3020477,0.0363840014,56.520056,0
4,1.4e-05,0.147200003,0.005952,55.6032333,0.0409279987,55.822594,0
5,2.3e-05,0.149248004,0.013436,56.4696007,0.0344959982,56.999682,0
6,1.2e-05,0.159807995,0.010307,56.3410225,0.0399039984,56.569028,0
7,1.4e-05,0.150335997,0.009848,55.8047676,0.0382720008,56.018873,0
8,1.4e-05,0.148415998,0.007057,56.4379845,0.0375039987,56.907057,0
9,1.3e-05,0.146687999,0.00642,55.7664642,0.0368960015,55.975999,0
10,1.3e-05,0.147072002,0.007257,56.2846718,0.0363520011,56.625848,0
11,1.3e-05,0.146464005,0.006475,56.1418571,0.0364799984,56.350567,0
12,1.2e-05,0.144768,0.00723,55.6185265,0.0384639986,55.942762,0
13,1.2e-05,0.148607999,0.007325,56.2248001,0.0380799994,56.436553,0
14,1.3e-05,0.151455998,0.006295,56.0554543,0.037535999,56.269211,0
15,1.4e-05,0.145119995,0.006316,55.7005119,0.0373760015,55.908473,0
16,1.3e-05,0.144288003,0.006109,56.6928635,0.0370879993,56.898949,0
17,1.4e-05,0.144096002,0.00682,55.7666245,0.0376639999,55.97483,0
18,1.2e-05,0.14576,0.006865,56.3669434,0.0382080004,56.713882,0
19,1.2e-05,0.144032001,0.005787,56.0180168,0.0369599983,56.224812,0
20,1.4e-05,0.143071994,0.005837,55.8120308,0.0437120013,56.139482,0
21,1.3e-05,0.144383997,0.005636,56.2650871,0.0383360013,56.732622,0
22,1.3e-05,0.14576,0.007621,55.7411842,0.0387200005,55.951008,0
23,1.4e-05,0.156415999,0.007216,55.7592964,0.0436800011,56.355477,0
24,1.3e-05,0.148351997,0.006231,55.9330254,0.0378240012,56.144782,0
25,1.3e-05,0.146111995,0.006451,55.6876488,0.037535999,55.895235,0
26,1.4e-05,0.143904001,0.005833,56.2403183,0.0407680012,56.694214,0
27,1.3e-05,0.149535999,0.006606,55.9858246,0.0368320011,56.196525,0
28,1.2e-05,0.143360004,0.00675,56.0543365,0.0372800007,56.262015,0
29,1.3e-05,0.145536005,0.007211,56.1691856,0.042431999,56.650338,0
