repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.177696005,0.006196,53.2384338,0.0526399985,53.519055,0
1,1.4e-05,0.196191996,0.008699,53.6710091,0.0455680005,54.183927,0
2,1.4e-05,0.156959996,0.006539,55.4988785,0.0497599989,55.746582,0
3,1.5e-05,0.239552006,0.023858,53.2984314,0.0472000018,53.635533,0
4,1.4e-05,0.181152001,0.006948,52.9020805,0.0407680012,53.155675,0
5,1.2e-05,0.163136005,0.007494,54.7076797,0.0480960011,54.968488,0
6,1.4e-05,0.182367995,0.005166,53.4432335,0.0480320007,53.706054,0
7,1.4e-05,0.184031993,0.006732,52.4201927,0.0687360018,52.717587,0
8,1.4e-05,0.386943996,0.007763,55.8648643,0.0470720008,56.356697,0
9,1.3e-05,0.184799999,0.005683,53.5566063,0.0508479998,53.840266,0
10,1.3e-05,0.182144001,0.009614,52.5565758,0.0476160012,52.829388,0
11,1.3e-05,0.213855997,0.006328,55.8123856,0.0488319993,56.126448,0
12,1.3e-05,0.179135993,0.006868,53.1446075,0.0620799996,53.631268,0
13,1.4e-05,0.197983995,0.007939,52.768383,0.0506559983,53.067123,0
14,1.3e-05,0.173216,0.004853,55.8064308,0.0459519997,56.070237,0
15,1.3e-05,0.187327996,0.011476,52.6098557,0.0655359998,52.907761,0
16,1.4e-05,0.364544004,0.007792,54.0775032,0.0761279985,54.569781,0
17,1.4e-05,0.352703989,0.009454,55.1600647,0.0487039983,55.60144,0
18,1.3e-05,0.174239993,0.008013,52.4005127,0.0547519997,52.68301,0
19,1.5e-05,0.181920007,0.021118,53.3506241,0.0572159998,53.636653,0
20,1.3e-05,0.191648006,0.00779,56.8893776,0.0546559989,57.332081,0
21,1.3e-05,0.186207995,0.013512,52.6547508,0.0628480017,52.949759,0
22,1.4e-05,0.378432006,0.009955,53.4606705,0.0487679988,53.925311,0
23,1.3e-05,0.191200003,0.006918,55.1362572,0.0445440002,55.544032,0
24,1.4e-05,0.161919996,0.00799,53.4950409,0.0649920031,53.758668,0
25,1.4e-05,0.306367993,0.009425,53.3631058,0.054432001,53.762811,0
26,1.4e-05,0.184863999,0.006503,53.6116791,0.0371199995,53.864542,0
27,1.3e-05,0.145536005,0.006334,53.6568642,0.0550399981,53.893642,0
28,1.3e-05,0.184928,0.007109,53.3712959,0.0691199973,53.666677,0
29,1.4e-05,0.304544002,0.010638,53.574688,0.0449919999,53.960929,0
