repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.6e-05,0.0164480004,0.004058,6.7068162,0.00838399958,6.751846,4
1,1.3e-05,0.0143999998,0.003616,7.01964808,0.0130240005,7.184627,4
2,1.3e-05,0.0152319996,0.002538,7.26604795,0.00751999998,7.307766,4
3,1.3e-05,0.013824,0.002513,6.70031977,0.0153280003,6.746348,4
4,1.3e-05,0.0135040004,0.002153,7.64611197,0.00771200005,7.686932,4
5,1.4e-05,0.0142719997,0.002964,6.69945621,0.0144959996,6.746318,4
6,1.5e-05,0.0135359997,0.002446,7.46070385,0.0154879997,7.643065,4
7,1.3e-05,0.0245440006,0.002371,6.70351982,0.00780799985,6.756201,4
8,1.4e-05,0.0143999998,0.003099,6.9260478,0.0126400003,7.162941,4
9,1.3e-05,0.0218240004,0.002366,7.27171183,0.00780799985,7.320095,4
10,1.2e-05,0.022016,0.002371,6.69484806,0.0154560003,6.751719,4
11,1.3e-05,0.0142400004,0.002436,7.70272017,0.0164480004,7.753717,4
12,1.4e-05,0.0142719997,0.002541,6.70131207,0.00819199998,6.742573,4
13,1.8e-05,0.0148160001,0.002677,7.45689583,0.0132480003,7.639215,4
14,1.3e-05,0.0236479994,0.00317,6.69724798,0.01456,6.754039,4
15,1.4e-05,0.0134399999,0.002099,6.92028809,0.0126719996,7.158418,4
16,1.2e-05,0.0226240009,0.002742,7.26806402,0.00694399979,7.317242,4
17,1.3e-05,0.0141120004,0.00244,6.70998383,0.0152639998,6.75746,4
18,1.3e-05,0.0136000002,0.002897,7.63184023,0.00848000031,7.673225,4
19,1.2e-05,0.0152319996,0.003094,6.7021122,0.00790399965,6.743241,4
20,1.4e-05,0.0141439997,0.003325,7.46873617,0.0148799997,7.650456,4
21,1.3e-05,0.0151359998,0.003253,6.70412779,0.0161600001,6.75423,4
22,1.4e-05,0.0142719997,0.003173,6.93081617,0.0117760003,7.169011,4
23,1.3e-05,0.0151040005,0.002873,7.27801609,0.00905600004,7.321492,4
24,1.3e-05,0.0146559998,0.003839,6.70505619,0.0158399995,6.753547,4
25,1.3e-05,0.0130559998,0.002407,7.62275219,0.00771200005,7.662117,4
26,1.3e-05,0.0146559998,0.003059,6.70300817,0.0159680005,6.750902,4
27,1.3e-05,0.013824,0.002372,7.46297598,0.0135359997,7.642754,4
28,1.4e-05,0.0139840003,0.002362,6.70227194,0.0149440002,6.749395,4
29,1.3e-05,0.0143999998,0.003489,6.91382408,0.0113920001,7.152495,4
