repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,2.4e-05,0.626688004,0.019415,264.92218,0.149664,265.736843,0
1,1.8e-05,0.641088009,0.0149,266.634949,0.155936003,267.477082,0
2,2.4e-05,0.621183991,0.018795,266.475189,0.149087995,267.284211,0
3,2.4e-05,0.63823998,0.014996,265.598724,0.155808002,266.429958,0
4,2.4e-05,0.851776004,0.020669,264.507324,0.149823993,265.546816,0
5,1.7e-05,0.633823991,0.012653,268.333496,0.197216004,269.206655,0
6,1.2e-05,0.899872005,0.015902,267.346527,0.195296004,268.483313,0
7,1.2e-05,0.899007976,0.016131,267.954254,0.153727993,269.341128,0
8,1.4e-05,0.633343995,0.015593,266.82486,0.163295999,267.953942,0
9,2.6e-05,0.68947202,0.022639,266.147369,0.154367998,267.322378,0
10,2.3e-05,0.650399983,0.019635,265.083649,0.159615993,265.94169,0
11,2.4e-05,0.626367986,0.020532,266.851349,0.149343997,267.664915,0
12,1.9e-05,0.621088028,0.015487,265.467957,0.157248005,266.291263,0
13,2.3e-05,0.627168,0.018399,268.378052,0.157536,269.204066,0
14,2.3e-05,0.624512017,0.017314,268.328613,0.201279998,269.200664,0
15,2.5e-05,0.870751977,0.022785,267.054626,0.164928004,268.140507,0
16,2.2e-05,0.646879971,0.019698,268.790741,0.157759994,269.640845,0
17,2.5e-05,0.627071977,0.017601,265.982788,0.150048003,266.798915,0
18,2.3e-05,0.624064028,0.014391,265.452881,0.152383998,266.266534,0
19,1.4e-05,0.620895982,0.014493,268.55899,0.194463998,269.416626,0
20,1.5e-05,0.856607974,0.017641,268.628998,0.157887995,269.814581,0
21,1.8e-05,0.661279976,0.021188,269.295258,0.151327997,270.146497,0
22,1.8e-05,0.630016029,0.01576,266.40625,0.154719993,267.230299,0
23,1.4e-05,0.640447974,0.016324,265.490479,0.159904003,266.336047,0
24,1.3e-05,0.634271979,0.020231,265.429749,0.193887994,266.317094,0
25,1.3e-05,0.862464011,0.018048,264.871185,0.167232007,265.951056,0
26,2.5e-05,0.659295976,0.021817,265.028534,0.152127996,265.88644,0
27,2.2e-05,0.617536008,0.020249,267.13623,0.170783997,267.974591,0
28,1.8e-05,0.722976029,0.021346,266.412598,0.156864002,267.332858,0
29,1.3e-05,0.659391999,0.014584,268.613159,0.156575993,269.466065,0
