repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.3e-05,0.622175992,0.008321,267.466339,0.192192003,268.557914,0
1,1.3e-05,0.969536006,0.018449,267.133881,0.169791996,268.963487,0
2,1.3e-05,0.686367989,0.014927,266.075012,0.156159997,267.084246,0
3,1.3e-05,0.643136024,0.009121,268.281982,0.170432001,269.143245,0
4,2.5e-05,0.65526402,0.021121,267.384918,0.153600007,268.230579,0
5,1.4e-05,0.65200001,0.012494,257.466217,0.155616,258.57115,0
6,1.2e-05,0.64319998,0.010065,261.802734,0.154016003,262.636765,0
7,1.4e-05,0.619808018,0.010255,260.085114,0.157312006,260.896188,0
8,1.3e-05,0.687904,0.011974,255.831558,0.202656001,256.774673,0
9,1.2e-05,0.794816017,0.019623,255.495392,0.297472,256.638071,0
10,1.4e-05,1.40614402,0.026218,254.761734,0.211392,256.43934,0
11,1.4e-05,0.86559999,0.014029,254.403931,0.291648,255.620255,0
12,1.2e-05,1.67980802,0.01655,251.783585,0.254559994,253.768113,0
13,1.3e-05,1.831936,0.026707,253.311813,0.302047998,255.50967,0
14,1.4e-05,1.74931204,0.044654,254.037888,0.2192,256.070954,0
15,1.4e-05,1.09593594,0.018252,254.502457,0.205152005,255.857336,0
16,1.9e-05,0.884096026,0.013358,253.600128,0.207903996,254.738234,0
17,1.4e-05,1.027776,0.013222,253.996155,1.14124799,256.231237,0
18,1.4e-05,1.71052802,0.015446,254.822723,0.151104003,256.722358,0
19,1.4e-05,0.631039977,0.010034,250.799805,0.300352007,251.778327,0
20,1.3e-05,1.76259196,0.024838,254.295303,0.295967996,256.41229,0
21,1.3e-05,1.10662401,0.014678,254.10112,0.227423996,255.486413,0
22,1.4e-05,0.870944023,0.014484,257.396545,0.216864005,258.54207,0
23,1.4e-05,0.784799993,0.013127,255.12471,0.166271999,256.260455,0
24,1.4e-05,0.674624026,0.013603,253.089371,0.304735988,254.122304,0
25,1.5e-05,2.63196802,0.015521,253.72995,0.255968004,256.691516,0
26,2.6e-05,1.03737605,0.029338,255.29866,0.206303999,256.59881,0
27,1.4e-05,0.873503983,0.021064,257.722809,0.201567993,258.850929,0
28,1.3e-05,0.756959975,0.014205,255.165024,0.210304007,256.191247,0
29,1.3e-05,0.787295997,0.013391,255.763779,0.215455994,256.826245,0
