repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.6e-05,0.791967988,0.017314,266.174133,0.218912005,267.251737,230
1,2.6e-05,0.911967993,0.023785,262.958496,0.308319986,264.238964,230
2,2e-05,1.77174401,0.017838,264.270966,0.340447992,266.457122,230
3,1.9e-05,1.93593597,0.02488,266.580414,0.205663994,268.776843,230
4,1.8e-05,0.77916801,0.015628,265.465546,0.300543994,266.602408,230
5,2e-05,1.27276802,0.015876,267.158966,0.269567996,268.747218,230
6,1.6e-05,1.14316797,0.016681,266.314484,0.236223996,267.763574,230
7,2.3e-05,0.831327975,0.025866,271.98996,0.148992002,273.010116,230
8,1.6e-05,0.622720003,0.012414,270.755585,0.251648009,271.677315,230
9,1.3e-05,0.791263998,0.013955,266.506897,0.306304008,267.651277,230
10,1.3e-05,1.72495997,0.030049,266.085785,0.302751988,268.181044,230
11,1.3e-05,1.54233599,0.017949,268.054779,0.207359999,269.866603,230
12,1.4e-05,0.79292798,0.016586,263.954071,0.206208006,264.998843,230
13,1.3e-05,0.895359993,0.018442,265.243805,0.209344,266.399034,230
14,1.4e-05,0.795520008,0.016008,267.40921,0.152255997,268.398802,230
15,1.4e-05,0.633311987,0.010617,264.833832,0.220287994,265.743401,230
16,2.4e-05,0.805952013,0.029095,267.784393,0.153119996,268.784852,230
17,1.7e-05,0.632095993,0.012052,269.613831,0.203776002,270.499073,230
18,1.4e-05,0.792320013,0.019141,269.783081,0.209248006,270.841811,230
19,1.2e-05,0.857536018,0.016955,264.4841,0.303584009,265.719835,230
20,1.3e-05,1.865376,0.033734,266.612488,0.323680013,268.877159,230
21,2.5e-05,1.46748805,0.025018,265.826721,0.392031997,267.768732,230
22,1.3e-05,2.209728,0.024937,264.48642,0.214591995,266.968445,230
23,1.2e-05,0.798976004,0.024567,268.622101,0.150815994,269.612994,230
24,1.5e-05,0.636991978,0.011405,264.577148,0.212191999,265.473746,230
25,1.2e-05,0.800383985,0.013594,269.318817,0.32316801,270.519786,230
26,2.5e-05,1.34374404,0.032723,268.541901,0.301919997,270.242289,230
27,1.6e-05,1.71145594,0.034269,269.297028,0.214208007,271.421503,230
28,1.5e-05,0.663968027,0.011492,266.630615,0.212160006,267.559389,230
29,1.3e-05,0.781920016,0.015298,269.713593,0.315935999,270.875955,230
