repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.6e-05,0.0759359971,0.003918,29.8598404,0.0333120003,30.320974,23
1,1.9e-05,0.260127991,0.003518,30.0611191,0.0208000001,30.362502,23
2,1.9e-05,0.0751999989,0.003125,30.6221123,0.0294720009,30.746966,23
3,1.3e-05,0.0751999989,0.003314,30.4203529,0.0206719991,30.535971,23
4,1.8e-05,0.0699520037,0.003299,31.9455032,0.0281600002,32.06524,23
5,1.8e-05,0.0691519976,0.003752,30.3389759,0.0226559993,30.452907,23
6,1.4e-05,0.0797759965,0.004148,30.3232632,0.0205760002,30.444837,23
7,1.3e-05,0.072800003,0.003901,29.4989758,0.0309440009,29.950858,23
8,1.3e-05,0.283264011,0.004612,31.4688969,0.0211839993,31.795292,23
9,1.4e-05,0.0743359998,0.004316,30.2670078,0.0215360001,30.384288,23
10,1.2e-05,0.0747200027,0.004303,30.8042889,0.0202559996,30.920901,23
11,1.3e-05,0.0697600022,0.003946,30.4502392,0.0256319996,30.56997,23
12,1.3e-05,0.0941440016,0.005756,30.3090878,0.0197439995,30.444778,23
13,1.4e-05,0.0698560029,0.003264,29.9630718,0.0231359992,30.480066,23
14,1.4e-05,0.269216001,0.00445,31.7968636,0.026912,32.248987,23
15,1.2e-05,0.0738240033,0.004197,29.7421761,0.0217920002,29.859273,23
16,1.3e-05,0.0750079975,0.004973,32.019455,0.0218240004,32.140063,23
17,1.3e-05,0.0746880025,0.005571,30.3774719,0.0208960008,30.495059,23
18,1.3e-05,0.076448001,0.004289,32.0151367,0.0217599999,32.134696,23
19,1.3e-05,0.0756800026,0.003696,30.4167366,0.0224319994,30.53611,23
20,1.4e-05,0.0784000009,0.004277,29.9422398,0.0282240007,30.394091,23
21,1.4e-05,0.137631997,0.005313,29.9039688,0.0212159995,30.082604,23
22,1.4e-05,0.0777600035,0.004515,30.2694397,0.0281920005,30.395358,23
23,1.4e-05,0.0733119994,0.002906,30.3777275,0.0207039993,30.512399,23
24,1.4e-05,0.0758399963,0.003896,30.4151993,0.0218880009,30.533407,23
25,1.4e-05,0.0738240033,0.00379,32.0008316,0.0208960008,32.117745,23
26,1.3e-05,0.0745280012,0.004116,31.9228802,0.0267200004,32.047847,23
27,1.4e-05,0.0940160006,0.005254,29.9712963,0.032416001,30.583539,23
28,1.4e-05,0.0923840031,0.004161,31.7711678,0.0273599997,31.911744,23
29,1.5e-05,0.230015993,0.003426,31.5840321,0.0272959992,31.863721,23
