repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.8e-05,0.0991040021,0.005197,30.0383682,0.0263999999,30.191401,23
1,1.3e-05,0.0787520036,0.009673,30.0083523,0.0214399993,30.130073,23
2,1.3e-05,0.0759679973,0.004195,31.3620167,0.0259199999,31.783161,23
3,1.3e-05,0.0899199992,0.015622,30.8722878,0.0350399986,31.426075,23
4,2e-05,0.169152007,0.016584,31.2877121,0.0296320003,31.630817,23
5,1.2e-05,0.098559998,0.005758,30.4545593,0.0257280003,30.601361,23
6,1.2e-05,0.0960000008,0.005436,30.0973759,0.0292799994,30.252886,23
7,1.4e-05,0.0826560035,0.012132,31.6971207,0.0266559999,31.829619,23
8,1.4e-05,0.0992960036,0.006471,30.228096,0.0214079991,30.371057,23
9,1.4e-05,0.0770239979,0.00468,32.9555511,0.0269760005,33.085852,23
10,1.4e-05,0.081472002,0.01124,29.6990089,0.0220480002,30.072018,23
11,1.3e-05,0.166304007,0.005593,31.2052155,0.0238719992,31.799793,23
12,1.3e-05,0.172447994,0.004953,29.4838409,0.0300159995,29.713313,23
13,1.4e-05,0.104160003,0.007877,29.9692154,0.0284800008,30.132898,23
14,1.3e-05,0.0828159973,0.016731,30.0475845,0.0222720001,30.174455,23
15,1.4e-05,0.0774080008,0.005648,30.2872314,0.0221120007,30.408203,23
16,1.3e-05,0.077568002,0.004489,30.2304955,0.0277120005,30.83159,23
17,1.9e-05,0.10272,0.010654,30.9911671,0.0308480002,31.532438,23
18,1.3e-05,0.16832,0.005238,29.8771839,0.0227840003,30.091009,23
19,1.4e-05,0.0783360004,0.006263,30.0927677,0.0242240001,30.223062,23
20,1.4e-05,0.078143999,0.008477,30.4213123,0.0208320003,30.543109,23
21,1.3e-05,0.0761279985,0.005712,31.6439037,0.0253120009,31.772242,23
22,1.3e-05,0.0792319998,0.007951,31.7496643,0.0230080001,31.877975,23
23,1.4e-05,0.0801279992,0.009459,31.3435516,0.028128,31.884206,23
24,1.3e-05,0.0827519968,0.009845,31.0060482,0.0219519995,31.456894,23
25,1.2e-05,0.281215996,0.007287,29.612896,0.0220800005,29.938232,23
26,1.3e-05,0.0797440037,0.004155,29.9948483,0.0279360004,30.131232,23
27,1.3e-05,0.0826879963,0.012179,30.0609283,0.0230080001,30.189381,23
28,1.4e-05,0.0853760019,0.007119,30.0677757,0.0305279996,30.213531,23
29,1.3e-05,0.0828799978,0.011745,29.9067841,0.0295359995,30.182177,23
