repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.4e-05,0.0138879996,0.002797,6.49491215,0.0151040005,6.543152,0
1,1.4e-05,0.0137599995,0.002681,6.70998383,0.0170239992,7.014845,0
2,1.3e-05,0.0153919999,0.003135,6.50259209,0.00748800021,6.544825,0
3,1.4e-05,0.014432,0.002574,6.26998377,0.01504,6.317024,0
4,1.3e-05,0.0128319999,0.002463,6.70595217,0.0125759998,6.859441,0
5,1.4e-05,0.0144640002,0.00303,6.596416,0.015904,6.645913,0
6,1.3e-05,0.0143680004,0.002741,6.70297623,0.01504,7.007867,0
7,1.4e-05,0.0152639998,0.002631,6.48063993,0.00809600018,6.522586,0
8,1.2e-05,0.0142719997,0.002502,6.26944017,0.0149760004,6.316198,0
9,1.3e-05,0.0132160001,0.002892,6.75263977,0.0179200005,6.912435,0
10,1.3e-05,0.0181120001,0.004199,6.60911989,0.00870400015,6.654575,0
11,1.4e-05,0.0150720002,0.003225,6.70332813,0.00790399965,6.998099,0
12,1.4e-05,0.0135359997,0.002631,6.49168015,0.0144959996,6.538526,0
13,1.3e-05,0.0137919998,0.002691,6.2606082,0.00704000005,6.299687,0
14,1.4e-05,0.0127680004,0.00274,6.76121616,0.0155199999,6.917456,0
15,1.3e-05,0.122784004,0.002456,6.57609606,0.0155199999,6.733195,0
16,1.3e-05,0.0132160001,0.002587,6.62463999,0.0156159997,6.92825,0
17,1.4e-05,0.0236479994,0.002433,6.49459219,0.00774399983,6.547266,0
18,1.4e-05,0.0145279998,0.003754,6.27718401,0.00956800021,6.691784,0
19,1.3e-05,0.138144001,0.003181,6.13072014,0.0110719996,6.48362,0
20,1.3e-05,0.112255998,0.00301,6.41183996,0.00687999977,6.550079,0
21,1.4e-05,0.0131519996,0.002845,6.73843193,0.011008,6.925458,0
22,1.3e-05,0.0218560006,0.002539,6.51161623,0.00787200034,6.559358,0
23,1.4e-05,0.0213440005,0.002561,6.28089619,0.0152319996,6.335796,0
24,1.4e-05,0.0128960004,0.002483,6.6711998,0.0130240005,6.89357,0
25,1.3e-05,0.180767998,0.002661,6.40848017,0.0149119999,6.623454,0
26,1.3e-05,0.0140159996,0.002683,6.70956802,0.0158399995,7.013552,0
27,1.4e-05,0.0224639997,0.00358,6.50089598,0.00844800007,6.5523,0
28,1.2e-05,0.0239359997,0.002696,6.2690239,0.0125759998,6.655178,0
29,1.2e-05,0.244000003,0.00244,6.12086391,0.0102080004,6.580537,0
