repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.6e-05,0.103776,0.011098,30.50144,0.0258239992,30.901043,0
1,1.2e-05,0.0955199972,0.005467,30.0772152,0.0217279997,30.218624,0
2,1.3e-05,0.0772479996,0.005571,30.7073288,0.0229119994,30.83151,0
3,1.2e-05,0.0772799999,0.007267,30.8583031,0.0204799995,30.978768,0
4,1.3e-05,0.0756800026,0.005099,30.7475204,0.0218560006,30.8679,0
5,1.3e-05,0.0772799999,0.00541,30.2820473,0.0244800001,30.407821,0
6,1.5e-05,0.0855360031,0.006026,30.4468479,0.0250240006,30.719162,0
7,2e-05,0.103519998,0.017459,30.0297928,0.044383999,30.23052,0
8,2.4e-05,0.115967996,0.024333,30.6943359,0.0237760004,30.85863,0
9,1.1e-05,0.0793600008,0.008056,30.7081604,0.0240320005,30.838213,0
10,1.4e-05,0.0802560002,0.008268,30.6321926,0.0217599999,30.758393,0
11,1.3e-05,0.0781759992,0.006152,30.4715843,0.0236799996,30.864051,0
12,1.4e-05,0.0860799998,0.007858,30.4098568,0.0295359995,30.553505,0
13,1.3e-05,0.103008002,0.010072,30.0827522,0.0255040005,30.617415,0
14,1.3e-05,0.171936005,0.006165,29.7876167,0.0225280002,30.004599,0
15,2e-05,0.0756800026,0.005106,30.5393276,0.0230080001,30.66274,0
16,1.4e-05,0.0792960003,0.005848,30.726944,0.0217279997,30.8501,0
17,1.3e-05,0.0782399997,0.004945,30.5126076,0.0268799998,30.825075,0
18,1.3e-05,0.0793600008,0.006108,30.4250565,0.0236799996,30.55267,0
19,1.4e-05,0.0792319998,0.006786,30.1553288,0.0267520007,30.605346,0
20,1.4e-05,0.269632012,0.006012,30.0270405,0.0272640008,30.464922,0
21,1.2e-05,0.0776000023,0.006214,30.6243839,0.0230400003,30.749486,0
22,1.4e-05,0.0791999996,0.00668,30.5798073,0.0251839999,30.710359,0
23,1.3e-05,0.0784000009,0.009313,30.6224003,0.0222720001,30.745305,0
24,1.3e-05,0.0786240026,0.004901,30.2504635,0.0255040005,30.377235,0
25,1.3e-05,0.093216002,0.004103,30.5780487,0.031072,30.872227,0
26,1.2e-05,0.102912001,0.008889,30.140192,0.0220480002,30.287912,0
27,1.4e-05,0.0744640008,0.003776,30.6991367,0.0213120002,30.81777,0
28,1.3e-05,0.0772159994,0.00441,30.8750401,0.0265919995,31.004817,0
29,1.3e-05,0.0821759999,0.009078,30.6982727,0.0221759994,30.826534,0
