repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.7e-05,0.0746880025,0.004296,30.9013119,0.0219839998,31.021205,0
1,1.9e-05,0.0777280033,0.004677,30.3336315,0.0211839993,30.563063,0
2,1.9e-05,0.193887994,0.005463,30.8721924,0.0235200003,31.112219,0
3,1.9e-05,0.0976959988,0.00576,30.8220158,0.0208640005,30.963674,0
4,2.6e-05,0.0740479976,0.004142,30.5945606,0.0211839993,30.846937,0
5,2.5e-05,0.0768000036,0.005861,29.9440327,0.0230400003,30.186043,0
6,1.3e-05,0.0790399984,0.007546,30.5090885,0.0280639995,30.644117,0
7,1.3e-05,0.0988800004,0.007106,30.689312,0.0234239995,30.835834,0
8,1.2e-05,0.0809279978,0.005955,30.3452473,0.027648,30.47973,0
9,1.8e-05,0.0962240025,0.010298,31.2111034,0.0258239992,31.357431,0
10,1.3e-05,0.091583997,0.005197,30.5879688,0.0274560004,30.865641,0
11,1.2e-05,0.0758399963,0.006002,30.367712,0.0231359992,30.491382,0
12,1.3e-05,0.0781119987,0.006307,30.4386883,0.022016,30.561527,0
13,1.3e-05,0.0756160021,0.004429,30.9324474,0.0227840003,31.053131,0
14,1.3e-05,0.0777919963,0.004906,30.3329601,0.0218880009,30.563135,0
15,1.3e-05,0.0803520009,0.004404,30.6415367,0.0257280003,30.771799,0
16,1.3e-05,0.0905279964,0.004006,30.9025917,0.020064,31.035868,0
17,1.2e-05,0.0724160001,0.003596,30.7649593,0.0279680006,31.022426,0
18,1.2e-05,0.0756480023,0.004815,29.9662724,0.0282879993,30.210838,0
19,1.3e-05,0.0766400024,0.005116,30.4917431,0.0209279992,30.611511,0
20,1.3e-05,0.0756160021,0.004465,30.7293129,0.0271359999,30.857154,0
21,1.3e-05,0.0925759971,0.006079,30.5004807,0.0274880007,30.646019,0
22,1.3e-05,0.0931520015,0.005371,30.7194557,0.0218560006,30.857482,0
23,1.3e-05,0.0754880011,0.004532,30.7712955,0.0250879992,31.029622,0
24,1.4e-05,0.0746880025,0.004617,30.4420471,0.0214079991,30.560792,0
25,1.2e-05,0.0742399991,0.004863,30.6941757,0.0274240002,30.818742,0
26,1.3e-05,0.0916799977,0.005493,30.8520317,0.0237760004,30.992574,0
27,1.4e-05,0.0798719972,0.008073,30.4657593,0.0242240001,30.594524,0
28,1.3e-05,0.0834560022,0.009731,31.1309433,0.0231359992,31.26136,0
29,1.4e-05,0.0767040029,0.006952,31.0725765,0.0219839998,31.193506,0
