repeat_id,host_prepare_ms,h2d_ms,graph_launch_or_kernel_launch_ms,gpu_stream_ms,d2h_ms,e2e_ms,fallback_count
0,1.6e-05,0.079392001,0.007564,30.2675838,0.0219199993,30.390321,0
1,1.8e-05,0.0781759992,0.004972,30.2445431,0.0241919998,30.369797,0
2,1.2e-05,0.077696003,0.006255,30.0781441,0.0231040008,30.447594,0
3,1.3e-05,0.0757120028,0.005534,30.0401917,0.0242560003,30.165567,0
4,1.4e-05,0.0796160027,0.008474,30.4444809,0.0268159993,30.576371,0
5,1.3e-05,0.0803840011,0.00729,30.2656956,0.0239359997,30.395972,0
6,1.3e-05,0.0801599994,0.00693,30.0214729,0.0243200008,30.150317,0
7,1.3e-05,0.0778559968,0.007778,30.3090553,0.0254720002,30.43663,0
8,1.3e-05,0.0839039981,0.007744,29.7199364,0.0212479997,30.178855,0
9,1.4e-05,0.277152002,0.006471,29.842144,0.0237119999,30.166624,0
10,1.4e-05,0.0783680007,0.005947,30.2673912,0.0205760002,30.388278,0
11,1.3e-05,0.0742719993,0.004353,30.4490871,0.0245120004,30.571182,0
12,1.4e-05,0.0771519989,0.006645,29.9508801,0.0215360001,30.072102,0
13,1.4e-05,0.0742399991,0.005428,30.1390076,0.0262400005,30.396887,0
14,1.4e-05,0.0732159987,0.003979,29.7728004,0.0216000006,29.889328,0
15,1.3e-05,0.0748480037,0.004679,30.2910728,0.0251199994,30.416742,0
16,1.4e-05,0.0790399984,0.007093,30.2304649,0.022016,30.355118,0
17,1.4e-05,0.0780479982,0.005398,29.9628162,0.0224639997,30.085804,0
18,1.4e-05,0.0754560009,0.004234,30.2856007,0.0231040008,30.407982,0
19,1.4e-05,0.0761599988,0.005388,29.6548805,0.0233919993,29.778873,0
20,1.3e-05,0.417183995,0.005915,29.6111031,0.0206719991,30.071676,0
21,1.3e-05,0.0729279965,0.004014,30.283968,0.0240320005,30.405295,0
22,1.2e-05,0.0757120028,0.006731,29.9171848,0.0227840003,30.038059,0
23,1.3e-05,0.0736320019,0.005162,30.4692478,0.0227199998,30.588118,0
24,1.3e-05,0.0757760033,0.00579,30.2456951,0.0225280002,30.612593,0
25,1.4e-05,0.0758399963,0.00644,29.5511036,0.0236159991,29.791505,0
26,1.4e-05,0.0771519989,0.005444,30.1347523,0.0226559993,30.257726,0
27,1.3e-05,0.0744000003,0.004494,30.2543354,0.0229759999,30.374409,0
28,1.4e-05,0.0759039968,0.004954,30.1194878,0.0221120007,30.239085,0
29,1.3e-05,0.0727680027,0.005187,30.0052166,0.0243200008,30.372271,0
