target_id,seed_id,python_pos_err_mm,cuda_pos_err_mm,python_rot_err_deg,cuda_rot_err_deg,python_loss,cuda_loss,pos_diff_mm,rot_diff_deg,pass
0,13,2.6289732370982017,2.62897323996,0.029225844112385085,0.0292258441688,3.5858446197739973e-06,3.585844627798444e-06,2.861798353848144e-09,5.641491440666613e-11,1
1,0,0.07043652399845614,0.0704365239983,0.019312727125611755,0.0193127271256,5.928897222597871e-08,5.928897222591499e-08,1.5613899062572045e-13,1.1754486273218845e-14,1
2,10,0.6654051538607005,0.66540515386,0.16204998888549835,0.162049988886,4.221039025057491e-06,4.2210390250648593e-06,7.005507285384738e-13,5.01654273676877e-13,1
3,7,0.7463376763795767,0.746337688318,0.10598296911347246,0.105982952616,1.9893007542315353e-06,1.9893002305262331e-06,1.1938423249979735e-08,1.6497472457577267e-08,1
4,2,0.09105776797929042,0.0910577679795,0.43694335750454544,0.436943357504,2.9082848141755263e-05,2.908284814171675e-05,2.0958235147361393e-13,5.454525719983394e-13,1
5,2,0.06401892044933302,0.0640189204492,0.06945603218906148,0.0694560321889,7.36807812890546e-07,7.3680781288678775e-07,1.3301859613790157e-13,1.6148193893172902e-13,1
6,4,0.023690155350341455,0.0236901553479,0.04228478958272191,0.0422847895796,2.726091074468413e-07,2.7260910740653637e-07,2.4414532895367103e-12,3.1219055118825167e-12,1
7,2,0.04785562960914973,0.0478556296093,0.054581535137601105,0.0545815351376,4.548946565149044e-07,4.5489465651463178e-07,1.5027562527691884e-13,1.1032841307212493e-15,1
8,8,0.15678529869447003,0.156785298695,0.0204899932322912,0.0204899932323,7.62360766944557e-08,7.6236076694498784e-08,5.299649608048185e-13,8.798517470154366e-15,1
9,15,0.1762225955873187,0.176222595589,0.02459086161541676,0.0245908616158,1.0762987390227356e-07,1.0762987390545102e-07,1.6812939929167214e-12,3.832385797597482e-13,1
