experiment,method,robot,N,K,seed_type,max_iter,wlimit,barrier_enabled,target_type,repeat,gpu_time_ms_mean,gpu_time_ms_std,throughput_targets_per_s_mean,throughput_targets_per_s_std,strict_sr,medium_sr,loose_sr,pos_p95_all_mm,pos_p95_success_mm,rot_p95_all_deg,rot_p95_success_deg,mean_iter,p95_iter,near_limit_ratio,joint_violation_count,nan_count,inf_count,fail_count,notes
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.0,false,random_reachable,30,100.300655,15.8981979,9970.02459,0.0,0.956,0.958,0.966,4.42138336,2.85496386,0.599938126,0.47215155,19.0,60.0,0.015,,0,0,44,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.005,true,random_reachable,30,115.230908,0.292239443,8678.22722,0.0,0.96,0.965,0.969,4.38084649,2.6949349,0.607758559,0.45042746,19.0,57.05,0.01,,0,0,40,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.01,true,random_reachable,30,116.917164,1.32032051,8553.06415,0.0,0.957,0.96,0.968,4.45356753,2.7464077,0.604113697,0.484932066,19.0,59.0,0.012,,0,0,43,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.03,true,random_reachable,30,111.319942,17.7547756,8983.11646,0.0,0.954,0.954,0.965,4.56313281,2.54634627,0.529917399,0.448161392,19.0,60.0,0.007,,0,0,46,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.05,true,random_reachable,30,117.852877,1.24317588,8485.15562,0.0,0.952,0.953,0.961,4.78628259,2.55753758,0.580433085,0.4299899,19.0,60.0,0.006,,0,0,48,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.1,true,random_reachable,30,57.7538901,0.207025041,17314.851,0.0,0.947,0.948,0.958,12.0505614,2.71505374,0.542466922,0.404737305,19.0,60.0,0.008,,0,0,53,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.0,false,near_limit,30,53.9283901,0.263036868,18543.1087,0.0,0.943,0.949,0.965,9.4499587,3.08302913,0.715069889,0.441578883,20.0,60.0,0.017,,0,0,57,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.005,true,near_limit,30,57.800622,0.38008369,17300.8519,0.0,0.941,0.943,0.962,13.8345322,2.92767263,0.622875227,0.400765453,20.0,60.0,0.021,,0,0,59,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.01,true,near_limit,30,57.7170881,0.295605588,17325.8914,0.0,0.942,0.948,0.968,10.7755352,3.16949557,0.595810577,0.423536418,20.0,60.0,0.02,,0,0,58,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.03,true,near_limit,30,57.554947,0.196442905,17374.7011,0.0,0.94,0.946,0.964,11.9030798,2.97970796,0.700485472,0.415072351,19.0,60.0,0.015,,0,0,60,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.05,true,near_limit,30,57.6538443,0.218495612,17344.8971,0.0,0.936,0.942,0.958,19.6162859,3.02493564,0.640234397,0.400796813,19.0,60.0,0.011,,0,0,64,limit-weight runner variant under supplementary experiment directory
barrier_weight_scan,OPT4C-K16,UR10,1000,16,sobol,60,0.1,true,near_limit,30,57.6146123,0.253182484,17356.708,0.0,0.934,0.943,0.962,14.7152947,3.04353136,0.619929967,0.381379848,19.0,60.0,0.013,,0,0,66,limit-weight runner variant under supplementary experiment directory
