experiment,method,robot,N,K,seed_type,max_iter,wlimit,barrier_enabled,target_type,repeat,gpu_time_ms_mean,gpu_time_ms_std,throughput_targets_per_s_mean,throughput_targets_per_s_std,strict_sr,medium_sr,loose_sr,pos_p95_all_mm,pos_p95_success_mm,rot_p95_all_deg,rot_p95_success_deg,mean_iter,p95_iter,near_limit_ratio,joint_violation_count,nan_count,inf_count,fail_count,notes
fair_curobo_k16,OPT4C-K1,UR10,100,1,sobol,60,0.03,true,random_reachable,30,6.51525122,0.242389746,15348.6023,0.0,0.45,0.49,0.53,642.23333,4.31381756,51.1198354,0.953595323,60.0,60.0,0.45,,0,0,55,
fair_curobo_k16,OPT4C-K16,UR10,100,16,sobol,60,0.03,true,random_reachable,30,6.65821654,0.475148566,15019.0369,0.0,0.96,0.96,0.98,4.38451277,3.1743141,0.573046801,0.519748983,21.0,60.0,0.01,,0,0,4,
fair_curobo_k16,cuRobo-Graph-K1,UR10,100,1,curobo_default,,,,random_reachable,,9.631744066874186,,10382.335671057055,,0.86,,,74.16660293471118,0.05146155182115662,9.810200535302421,,,,,,,,14,CUDA Graph enabled; collision disabled; external FK reevaluation from source script
fair_curobo_k16,cuRobo-Graph-K16,UR10,100,16,curobo_16,,,,random_reachable,,11.14520517985026,,8972.468284459483,,0.98,,,0.890991859604113,0.0252087963192887,0.0173865048336653,,,,,,,,2,"CUDA Graph enabled; collision disabled; num_seeds=16; current source covers N=100,500,1000"
fair_curobo_k16,OPT4C-K1,UR10,200,1,sobol,60,0.03,true,random_reachable,30,8.53434563,0.203545458,23434.72,0.0,0.495,0.525,0.56,638.929313,4.7201059,50.2977101,0.945163215,60.0,60.0,0.38,,0,0,101,
fair_curobo_k16,OPT4C-K16,UR10,200,16,sobol,60,0.03,true,random_reachable,30,13.7242346,0.807846324,14572.7616,0.0,0.95,0.95,0.96,5.48867184,2.25461294,0.510510182,0.442976469,20.0,60.0,0.01,,0,0,10,
fair_curobo_k16,cuRobo-Graph-K1,UR10,200,1,curobo_default,,,,random_reachable,,9.915072123209635,,20171.310658631646,,0.875,,,89.07415214236923,0.018976091463604603,11.672044337193137,,,,,,,,25,CUDA Graph enabled; collision disabled; external FK reevaluation from source script
fair_curobo_k16,OPT4C-K1,UR10,300,1,sobol,60,0.03,true,random_reachable,30,14.7586901,0.278606319,20327.0072,0.0,0.483333333,0.513333333,0.536666667,658.791084,4.5242937,50.2557282,0.953600152,60.0,60.0,0.37,,0,0,155,
fair_curobo_k16,OPT4C-K16,UR10,300,16,sobol,60,0.03,true,random_reachable,30,19.334305,0.423585695,15516.4615,0.0,0.94,0.94,0.953333333,27.0364254,2.35072085,0.573046801,0.435277986,20.0,60.0,0.00666666667,,0,0,18,
fair_curobo_k16,cuRobo-Graph-K1,UR10,300,1,curobo_default,,,,random_reachable,,9.852405230204264,,30449.41747628262,,0.88,,,84.70994773006575,0.18208914566986092,7.274049013897901,,,,,,,,36,CUDA Graph enabled; collision disabled; external FK reevaluation from source script
fair_curobo_k16,OPT4C-K1,UR10,400,1,sobol,60,0.03,true,random_reachable,30,16.6492692,0.643777772,24025.0785,0.0,0.485,0.51,0.5375,709.378774,4.72092658,51.3590129,0.943942243,60.0,60.0,0.3725,,0,0,206,
fair_curobo_k16,OPT4C-K16,UR10,400,16,sobol,60,0.03,true,random_reachable,30,24.0904076,0.394424226,16604.1193,0.0,0.945,0.945,0.9575,15.4362359,2.13323728,0.580508538,0.448019786,20.0,60.0,0.005,,0,0,22,
fair_curobo_k16,cuRobo-Graph-K1,UR10,400,1,curobo_default,,,,random_reachable,,10.947253545125326,,36538.844957885805,,0.83,,,100.52891012493573,0.22449498052040215,11.855509157065821,,,,,,,,68,CUDA Graph enabled; collision disabled; external FK reevaluation from source script
fair_curobo_k16,OPT4C-K1,UR10,500,1,sobol,60,0.03,true,random_reachable,30,19.437167,0.775418312,25723.9134,0.0,0.502,0.526,0.55,686.162194,4.77105945,51.1132437,0.939560656,60.0,60.0,0.362,,0,0,249,
fair_curobo_k16,OPT4C-K16,UR10,500,16,sobol,60,0.03,true,random_reachable,30,28.8368417,0.426922062,17338.9307,0.0,0.954,0.954,0.966,4.33796842,2.09849052,0.568232018,0.452852161,20.0,60.0,0.004,,0,0,23,
fair_curobo_k16,cuRobo-Graph-K1,UR10,500,1,curobo_default,,,,random_reachable,,11.494815826416016,,43497.86960926852,,0.838,,,114.45729842614062,0.22236305744134516,8.364398594729284,,,,,,,,81,CUDA Graph enabled; collision disabled; external FK reevaluation from source script
fair_curobo_k16,cuRobo-Graph-K16,UR10,500,16,curobo_16,,,,random_reachable,,51.65231959025065,,9680.10737884412,,0.988,,,0.4719882795093515,0.32769394359455706,0.056524395725431914,,,,,,,,6,"CUDA Graph enabled; collision disabled; num_seeds=16; current source covers N=100,500,1000"
fair_curobo_k16,OPT4C-K1,UR10,600,1,sobol,60,0.03,true,random_reachable,30,22.7785664,0.562499743,26340.5515,0.0,0.513333333,0.535,0.561666667,709.378774,4.7219114,51.1132437,0.943949487,53.0,60.0,0.36,,0,0,292,
fair_curobo_k16,OPT4C-K16,UR10,600,16,sobol,60,0.03,true,random_reachable,30,33.6769695,0.436370636,17816.3299,0.0,0.953333333,0.953333333,0.963333333,4.36329008,2.14457106,0.568232018,0.478390458,20.0,60.0,0.005,,0,0,28,
fair_curobo_k16,cuRobo-Graph-K1,UR10,600,1,curobo_default,,,,random_reachable,,12.122794469197592,,49493.538929866394,,0.8433333333333334,,,105.64716146520661,0.21534083394745754,8.739876016132484,,,,,,,,94,CUDA Graph enabled; collision disabled; external FK reevaluation from source script
fair_curobo_k16,OPT4C-K1,UR10,700,1,sobol,60,0.03,true,random_reachable,30,26.4809877,0.577664779,26434.0594,0.0,0.517142857,0.537142857,0.564285714,717.007941,4.71871672,51.1132437,0.943496478,51.5,60.0,0.354285714,,0,0,338,
fair_curobo_k16,OPT4C-K16,UR10,700,16,sobol,60,0.03,true,random_reachable,30,39.3285726,1.48725471,17798.7645,0.0,0.952857143,0.952857143,0.962857143,4.7809666,2.43032926,0.555079481,0.448409203,19.5,60.0,0.00714285714,,0,0,33,
fair_curobo_k16,cuRobo-Graph-K1,UR10,700,1,curobo_default,,,,random_reachable,,12.681418736775717,,55198.87124064612,,0.8442857142857143,,,88.00642941856471,0.28224674090074753,7.701192091477483,,,,,,,,109,CUDA Graph enabled; collision disabled; external FK reevaluation from source script
fair_curobo_k16,OPT4C-K1,UR10,800,1,sobol,60,0.03,true,random_reachable,30,29.4340863,0.675309518,27179.3727,0.0,0.515,0.535,0.56125,717.007941,4.70810761,51.5903321,0.934329767,51.5,60.0,0.36375,,0,0,388,
fair_curobo_k16,OPT4C-K16,UR10,800,16,sobol,60,0.03,true,random_reachable,30,44.4214453,1.94833542,18009.3195,0.0,0.95125,0.95125,0.96125,4.91321802,2.47257017,0.571143285,0.448621612,19.0,60.0,0.0075,,0,0,39,
fair_curobo_k16,cuRobo-Graph-K1,UR10,800,1,curobo_default,,,,random_reachable,,13.087285359700521,,61128.03213288432,,0.83875,,,92.06152816175714,0.28286794958766004,7.304644794052844,,,,,,,,129,CUDA Graph enabled; collision disabled; external FK reevaluation from source script
fair_curobo_k16,OPT4C-K1,UR10,900,1,sobol,60,0.03,true,random_reachable,30,32.46181,0.60391921,27724.8865,0.0,0.518888889,0.536666667,0.563333333,703.829826,4.69364482,51.5903321,0.927486008,50.5,60.0,0.353333333,,0,0,433,
fair_curobo_k16,OPT4C-K16,UR10,900,16,sobol,60,0.03,true,random_reachable,30,49.3296558,1.66415884,18244.6033,0.0,0.951111111,0.951111111,0.962222222,4.89900681,2.50836049,0.568129222,0.457490977,19.0,60.0,0.00777777778,,0,0,44,
