experiment,method,robot,N,K,seed_type,max_iter,wlimit,barrier_enabled,target_type,repeat,gpu_time_ms_mean,gpu_time_ms_std,throughput_targets_per_s_mean,throughput_targets_per_s_std,strict_sr,medium_sr,loose_sr,pos_p95_all_mm,pos_p95_success_mm,rot_p95_all_deg,rot_p95_success_deg,mean_iter,p95_iter,near_limit_ratio,joint_violation_count,nan_count,inf_count,fail_count,notes
near_limit_barrier,OPT4C-K1-BarrierON,UR10,100,1,sobol,60,0.03,true,near_limit,30,6.06532478,0.357575838,16487.1633,0.0,0.52,0.53,0.55,635.686029,4.85455965,50.9934654,0.939189621,55.5,60.0,0.39,0,0,0,48,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K1-BarrierOFF,UR10,100,1,sobol,60,0.0,false,near_limit,30,5.21229866,0.14801004,19185.3933,0.0,0.49,0.51,0.53,584.142507,4.35361728,47.2494286,0.931113567,60.0,60.0,0.42,0,0,0,51,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K16-BarrierON,UR10,100,16,sobol,60,0.03,true,near_limit,30,6.62064635,0.129639217,15104.2655,0.0,0.97,0.97,0.98,2.90331948,1.81244918,0.619387607,0.483635499,18.0,43.25,0.02,0,0,0,3,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K16-BarrierOFF,UR10,100,16,sobol,60,0.0,false,near_limit,30,6.22855252,0.128127387,16055.0946,0.0,0.97,0.98,0.98,3.10780912,1.48134095,0.708645541,0.605442629,19.0,50.15,0.02,0,0,0,3,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K1-BarrierON,UR10,500,1,sobol,60,0.03,true,near_limit,30,21.8504619,0.490105787,22882.8115,0.0,0.486,0.516,0.568,794.087073,4.76239186,52.732568,0.936195305,60.0,60.0,0.428,0,0,0,257,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K1-BarrierOFF,UR10,500,1,sobol,60,0.0,false,near_limit,30,19.9758122,0.473741373,25030.2713,0.0,0.524,0.538,0.568,706.73226,3.67830418,53.1045743,0.947750598,50.0,60.0,0.43,0,0,0,238,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K16-BarrierON,UR10,500,16,sobol,60,0.03,true,near_limit,30,31.2904459,0.15588775,15979.3185,0.0,0.95,0.956,0.972,4.84222796,3.21995197,0.654034357,0.441817136,20.0,60.0,0.016,0,0,0,25,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K16-BarrierOFF,UR10,500,16,sobol,60,0.0,false,near_limit,30,29.2891488,0.219039152,17071.1687,0.0,0.948,0.956,0.974,4.92681593,2.63126683,0.645707029,0.341825995,20.0,60.0,0.02,0,0,0,26,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K1-BarrierON,UR10,1000,1,sobol,60,0.03,true,near_limit,30,40.5368108,0.654341939,24668.9362,0.0,0.497,0.515,0.565,579.917243,4.75565812,52.8307853,0.937081986,60.0,60.0,0.42,0,0,0,503,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K1-BarrierOFF,UR10,1000,1,sobol,60,0.0,false,near_limit,30,36.8310553,0.588255909,27151.0005,0.0,0.541,0.551,0.582,697.201305,3.56034781,53.2818613,0.962701015,47.5,60.0,0.416,0,0,0,459,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K16-BarrierON,UR10,1000,16,sobol,60,0.03,true,near_limit,30,57.7564253,0.235248128,17314.0909,0.0,0.94,0.946,0.964,11.9030798,2.97970796,0.700485472,0.415072351,19.0,60.0,0.015,0,0,0,60,limit-weight runner variant under supplementary experiment directory
near_limit_barrier,OPT4C-K16-BarrierOFF,UR10,1000,16,sobol,60,0.0,false,near_limit,30,53.8945624,0.24943037,18554.7476,0.0,0.943,0.949,0.965,9.4499587,3.08302913,0.715069889,0.441578883,20.0,60.0,0.017,0,0,0,57,limit-weight runner variant under supplementary experiment directory
