trajectory_type,trajectory_id,step,method,delta_q_norm,is_jump
random_local_50,0,1,no-rerank,5.038631208489562,1
random_local_50,0,2,no-rerank,4.987734745158685,1
random_local_50,0,3,no-rerank,5.29081011438622,1
random_local_50,0,4,no-rerank,4.2621244892154975,1
random_local_50,0,5,no-rerank,4.631425327747373,1
random_local_50,0,6,no-rerank,1.68926832669589,1
random_local_50,0,7,no-rerank,4.453903362634825,1
random_local_50,0,8,no-rerank,4.758306677287401,1
random_local_50,0,9,no-rerank,4.424173548319934,1
random_local_50,0,10,no-rerank,5.646350910524551,1
random_local_50,0,11,no-rerank,0.07974617021563807,0
random_local_50,0,12,no-rerank,3.769552681051956,1
random_local_50,0,13,no-rerank,0.1443256006392,0
random_local_50,0,14,no-rerank,0.1516804512098255,0
random_local_50,0,15,no-rerank,0.21317877015642514,0
random_local_50,0,16,no-rerank,3.830914349225884,1
random_local_50,0,17,no-rerank,5.220986987156936,1
random_local_50,0,18,no-rerank,2.535842999348651,1
random_local_50,0,19,no-rerank,4.79384559656359,1
random_local_50,0,20,no-rerank,4.420417742392943,1
random_local_50,0,21,no-rerank,4.32446745280185,1
random_local_50,0,22,no-rerank,0.7040201540818082,1
random_local_50,0,23,no-rerank,5.004775816031078,1
random_local_50,0,24,no-rerank,6.067853103165111,1
random_local_50,0,25,no-rerank,4.656291425517351,1
random_local_50,0,26,no-rerank,4.730538155491181,1
random_local_50,0,27,no-rerank,3.911108868606428,1
random_local_50,0,28,no-rerank,3.899171928676236,1
random_local_50,0,29,no-rerank,1.1635094423374526,1
random_local_50,0,30,no-rerank,6.3258890312921725,1
random_local_50,0,31,no-rerank,6.363587784550791,1
random_local_50,0,32,no-rerank,6.2432423771969265,1
random_local_50,0,33,no-rerank,4.766226798863227,1
random_local_50,0,34,no-rerank,4.835099978646513,1
random_local_50,0,35,no-rerank,0.3974169167314306,0
random_local_50,0,36,no-rerank,0.3572758742795013,0
random_local_50,0,37,no-rerank,0.21003870244741776,0
random_local_50,0,38,no-rerank,4.4534878728860505,1
random_local_50,0,39,no-rerank,5.0472502690478676,1
random_local_50,0,40,no-rerank,5.453505547106641,1
random_local_50,0,41,no-rerank,2.416390804638247,1
random_local_50,0,42,no-rerank,4.516849642310245,1
random_local_50,0,43,no-rerank,0.39292695433898167,0
random_local_50,0,44,no-rerank,0.24305527664687832,0
random_local_50,0,45,no-rerank,4.645556379065798,1
random_local_50,0,46,no-rerank,4.242261874785851,1
random_local_50,0,47,no-rerank,3.909053743368275,1
random_local_50,0,48,no-rerank,6.567593398729847,1
random_local_50,0,49,no-rerank,4.4544257797383295,1
random_local_50,1,1,no-rerank,3.8978048740180737,1
random_local_50,1,2,no-rerank,3.9198297621957776,1
random_local_50,1,3,no-rerank,3.969833888114089,1
random_local_50,1,4,no-rerank,0.5396210443023535,1
random_local_50,1,5,no-rerank,2.8855636705289203,1
random_local_50,1,6,no-rerank,2.7500273644126914,1
random_local_50,1,7,no-rerank,3.447639614039637,1
random_local_50,1,8,no-rerank,0.2478029511590704,0
random_local_50,1,9,no-rerank,0.4508150314154137,0
random_local_50,1,10,no-rerank,0.8195068736423853,1
random_local_50,1,11,no-rerank,4.216948783719823,1
random_local_50,1,12,no-rerank,0.5736778238834038,1
random_local_50,1,13,no-rerank,3.6752157369929845,1
random_local_50,1,14,no-rerank,1.5678097111248985,1
