target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
0,3,4.3430945490920081,1.2256163254360963,-0.96215346463226381,-4.7799596884574331,-0.54330728763696678,3.5540098882470761,0.397761034418,0.0172998668225,2.493813844154863e-07,0,1.2469069220774315e-07,23,1,1,1,0,0
1,2,-4.6562138758360456,3.063122424139435,-1.5470255947674261,-0.59410012997594841,3.885243232534175,6.0943898015046623,0.267985029988,0.00866148745721,9.4668790923949486e-08,0,4.7334395461974743e-08,33,1,1,1,0,0
2,1,4.2136740711053253,1.2611586104151147,-0.94392812890001709,1.616051078684404,-0.58694716464279428,3.562355782577034,0.0783189868407,0.0236276654772,1.761915876050241e-07,0,8.8095793802512049e-08,11,1,1,1,0,0
3,2,1.5959870420885129,-4.7369021398971034,1.6329410789020697,3.9421407637892214,-2.2779374581440641,6.042011799385568,0.0221128542358,0.000459481978872,5.5329027582425771e-10,0,2.7664513791212886e-10,21,1,1,1,0,0
4,3,-2.048077186815545,-6.1085141392925983,1.5431561059924794,2.9730955683273077,-5.7356481531874257,-5.9006530326915829,0.325434327513,0.0405251461328,6.061768729041672e-07,0,3.030884364520836e-07,10,1,1,1,0,0
5,14,-4.640062826031321,1.9481346597287517,1.0433727251351781,-4.2856642540489176,2.4398921726584981,4.0572694459843266,0.00699818736185,0.287430495296,2.5166409952882997e-05,0,1.2583204976441498e-05,9,1,1,1,0,0
6,14,1.665624798166859,1.8232065368828416,1.011217385409664,1.182693180942662,-3.8969940389305306,2.5842956257392982,0.0380069920434,0.0107690343052,3.6771653273095206e-08,0,1.8385826636547603e-08,14,1,1,1,0,0
7,6,1.7232512993129683,-4.8250150108769194,1.635139581363237,4.0242530937966343,-2.151132573281048,-0.27733135745340848,0.0538014739755,0.000435635674323,2.952408420882041e-09,0,1.4762042104410205e-09,21,1,1,1,0,0
8,8,-4.5000693003940144,-4.4869776582826892,1.0234543897935007,1.1271545450599159,-4.284568007465916,2.9719218684734523,0.168924730223,0.0313183251477,3.2731574993130164e-07,0,1.6365787496565082e-07,21,1,1,1,0,0
9,15,-1.88916813312762,1.2625177879683405,-1.0667356613804537,1.4713613531015166,-0.76080455890004428,3.5801159511797032,0.0620656015124,0.0106286512769,3.8264229012049885e-08,0,1.9132114506024943e-08,14,1,1,1,0,0
10,10,-4.6081108649959708,1.5420446360533739,1.5925772979635264,4.3255703307320692,3.954533084128157,6.1750905493395205,0.121047466294,0.00253020761163,1.6602634756766531e-08,0,8.3013173783832655e-09,13,1,1,1,0,0
11,3,-4.6543484757092415,-4.7603451913479242,1.5489757910877249,4.3599366662004888,-2.3510949435119324,6.1914279085388104,0.434638564361,0.0457334045488,8.2603150711482829e-07,0,4.1301575355741415e-07,20,1,1,1,0,0
12,2,-4.667842126046799,-3.2309837619203452,-1.5754456183037922,-0.47989593488743476,-2.1925947635791019,-0.092443052234619405,0.0827555902156,0.000820310578137,7.0534676506975735e-09,0,3.5267338253487868e-09,29,1,1,1,0,0
13,6,1.5523106186938764,-3.1988096428195338,-1.6108950444137822,-0.54816739863192709,4.060505341838069,-0.18730520060744998,0.0389815113353,0.000441005024981,1.578801876481162e-09,0,7.8940093824058098e-10,20,1,1,1,0,0
14,7,1.6061442831337016,3.0899593973369965,-1.6122593029160821,-0.59050748668571196,4.1593415383263892,6.1881545872496106,0.0641999163899,8.2611172428e-05,4.1237081582806767e-09,0,2.0618540791403383e-09,15,1,1,1,0,0
15,14,1.5803961992535758,3.0839177923235108,-1.5866676598975022,5.8184229509117174,3.9927714978166646,-0.071935810985206003,0.469209541816,0.00452193421991,2.2638637734574365e-07,0,1.1319318867287182e-07,38,1,1,1,0,0
16,1,-4.7432499529764325,1.5431273399692256,1.5525828699071778,4.2670657578365523,-2.3615824130373744,-0.25514185215872953,0.336032015709,0.00613282599492,1.2437465032318722e-07,0,6.2187325161593611e-08,18,1,1,1,0,0
17,11,4.2080197973998583,0.22973145547485857,1.0163212488167046,-5.7168383719300069,-0.69865804256654618,-3.2035303344355368,0.174706746909,0.0172983268002,1.2167376070736329e-07,0,6.0836880353681643e-08,39,1,1,1,0,0
18,6,-2.0957924810603528,1.1844049170613749,-1.0356440373668847,1.5078026362990848,-0.70626626136962478,3.7290505143127439,0.394911721021,0.0349568986806,5.2819311364434716e-07,0,2.6409655682217358e-07,21,1,1,1,0,0
19,4,1.5680326129622273,-3.2568795350750954,-1.571927993317161,5.9015961804969042,-2.3985822678488335,6.1797593375707969,0.0471982591716,0.00373598624882,6.4794017115097446e-09,0,3.2397008557548723e-09,14,1,1,1,0,0
20,7,-2.0856250854490526,1.62950743470194,-1.5859834898536362,-1.3882397230769781,0.65400359290424515,0.48207258644710516,0.0492096031623,5.27184687187e-06,2.4215935094284788e-09,0,1.2107967547142394e-09,25,1,1,1,0,0
21,11,4.2031009327074589,-5.0701683756146618,-1.0497127418159125,1.4762818877844217,-0.56439494334791396,3.4061037668941836,0.0426318039622,0.00406124062599,6.8417315589804565e-09,0,3.4208657794902282e-09,15,1,1,1,0,0
22,13,-2.0805908325814029,1.3334293777466502,-1.0076854277842109,1.7784828262223713,-0.61981711659218985,2.7856348764141905,0.0415465522661,0.0305225691715,2.855159986549854e-07,0,1.427579993274927e-07,12,1,1,1,0,0
23,9,4.2382892351002832,0.01401298916855594,1.7240006619397716,-2.2555345578482133,-5.3556636627363829,-0.11100537840125216,0.023565330224,0.00300694591514,3.309591343632273e-09,0,1.6547956718161365e-09,17,1,1,1,0,0
24,11,-4.7018898777870364,3.0791333090820232,-1.6202520669394684,-0.74451669543424359,-2.1446386744019614,-0.036212882395716836,0.119316421095,0.067977830288,1.4218690610125268e-06,0,7.1093453050626338e-07,46,1,1,1,0,0
25,9,1.5764889685497645,1.8209353259804091,0.97039510922011751,0.92733845836621154,2.0798880063874927,2.484369745878213,0.118515461802,0.0142119998371,7.5572827283113674e-08,0,3.7786413641556837e-08,17,1,1,1,0,0
26,5,-4.6285124189330729,-3.2524288047079235,-1.5675226822177213,-0.65270118360025597,3.8517929293451854,-0.48733215604400482,0.0802707361034,0.00495789165175,1.3931097326388028e-08,0,6.965548663194014e-09,16,1,1,1,0,0
27,12,1.6495508731516284,-4.7855747746143864,1.5784722978358541,3.8749879625116872,3.9980829395589139,-0.52018173424858871,0.0270908173345,0.000359806960674,7.7334847454700514e-10,0,3.8667423727350257e-10,29,1,1,1,0,0
28,11,1.6053355629194566,3.0166853088614163,-1.5623392149119286,5.5809597373036031,3.837326590324782,5.4578490204110501,0.185880683619,0.0921816943248,2.6230274210810356e-06,0,1.3115137105405178e-06,10,1,1,1,0,0
29,9,1.6390950005629541,2.8684343989687791,-1.4399753446303107,6.129161701415013,-2.6858566480608834,-6.1299824412795623,0.0776877126377,0.0257034407962,2.0728601759623232e-07,0,1.0364300879811616e-07,55,1,1,1,0,0
30,11,4.2885799768245843,0.25284254219823216,1.515220742898719,-2.9905312831894491,-5.7473566816648063,0.21675174463256819,0.0394739060763,0.000248219877852,1.5769576868286852e-09,0,7.8847884341434261e-10,57,1,1,1,0,0
31,14,1.6252316211911895,2.9440626526776446,-1.5216156974690638,5.8728371312708632,-2.6305512083665588,5.7482971419113262,0.209348004128,0.0130973901,9.6081154766479996e-08,0,4.8040577383239998e-08,16,1,1,1,0,0
32,5,4.2558118794050257,0.15736357078590799,1.5817239010099988,3.4763246091978903,0.71212458357455,-0.013499661982924255,0.144080280278,0.00363175023679,2.4776912065032294e-08,0,1.2388456032516147e-08,46,1,1,1,0,0
33,2,1.7052341364141863,-4.4746470755964181,0.90324011954704764,-5.209346091489599,-4.4342785745577142,-3.8552625656069379,0.0942008867755,0.00611141131691,2.0251069174409744e-08,0,1.0125534587204872e-08,14,1,1,1,0,0
34,0,1.6901691940121744,1.5178124772960806,1.5268610673118468,3.9770230568222034,-2.2645363192596113,5.5856828887965895,0.0619143231106,0.00918210731535,2.9516011548589539e-08,0,1.4758005774294769e-08,14,1,1,1,0,0
35,6,1.5878702378688918,-4.6875257741525456,1.4963401775769403,-2.1235772932141446,-2.5202734969792902,5.7899980126545589,0.0378772611631,0.00732662636906,1.7786383671571933e-08,0,8.8931918357859663e-09,21,1,1,1,0,0
36,7,-4.6559374497473103,-4.6864101857554017,1.4985861562167806,3.9745728630481771,4.0007234792374167,-0.30531295498664146,0.0204324301533,0.000570778263382,5.1672484890611366e-10,0,2.5836242445305683e-10,9,1,1,1,0,0
37,5,1.6375402842330793,-4.6655511721002494,1.5219903204021437,4.0466833522561192,3.9314472925472441,-0.4870500079734314,0.533478653388,0.0191967463311,3.9685558330531322e-07,0,1.9842779165265661e-07,15,1,1,1,0,0
38,2,-4.5687116754382222,1.9698353946155178,0.83394034829580344,1.1999044024762167,-3.9417426042708108,-3.4192696482235472,0.0984451900216,0.00247218177775,1.1553180465891823e-08,0,5.7765902329459117e-09,38,1,1,1,0,0
39,15,4.3982208797473534,0.19075731502697235,1.4648181401850495,-3.1119836214413175,-5.7164389996059963,0.093798312878353038,0.149046979503,0.0147738284422,8.8702629929210338e-08,0,4.4351314964605169e-08,19,1,1,1,0,0
40,13,-4.6043527199568111,2.744728242551302,-0.85627549785642565,-4.2119109630652645,2.3909406427678266,2.5223538016824287,0.0251701458021,0.0146912585249,6.6380051273989353e-08,0,3.3190025636994676e-08,25,1,1,1,0,0
41,5,1.6837410979692757,-4.4519215935102254,0.95687511576095741,0.94277076723746633,2.1851291516804583,3.155685579811764,0.355201105264,0.112825811121,4.0038451225287625e-06,0,2.0019225612643813e-06,48,1,1,1,0,0
42,8,1.6782085883412567,-4.7727223480809418,1.5443625368180789,3.9308787520220099,4.1541891909264619,-0.45395176227475287,0.398252961441,0.00650946969086,1.7151303482544629e-07,0,8.5756517412723143e-08,17,1,1,1,0,0
